batch_id,product_id,production_date,quantity_produced,defect_quantity
122,27,2024-03-26,768,46
123,32,2024-04-16,237,31
124,17,2024-03-06,892,11
125,31,2024-09-11,882,4
126,12,2024-10-17,815,3
127,50,2024-07-16,308,40
128,26,2023-07-02,989,20
129,36,2024-03-06,751,3
130,6,2024-03-09,799,25
131,45,2024-10-08,987,9
132,23,2024-05-10,216,8
133,39,2023-07-16,488,8
134,14,2023-12-02,935,38
135,41,2023-04-05,359,31
136,47,2023-07-13,618,40
137,48,2024-01-04,318,30
138,23,2023-10-25,751,50
139,29,2024-06-24,748,38
140,38,2024-01-01,956,31
141,26,2023-01-21,789,9
142,35,2023-07-12,731,35
143,16,2024-02-14,276,34
144,30,2023-02-28,351,4
145,50,2024-12-19,662,13
146,28,2023-02-26,584,35
147,38,2023-01-01,465,18
148,25,2023-05-05,979,40
149,35,2024-09-19,495,1
150,2,2023-09-04,632,39
151,32,2024-11-04,468,38
152,41,2024-07-25,683,27
153,32,2023-04-19,656,49
154,24,2023-07-15,953,0
155,2,2023-11-18,589,1
156,17,2023-09-15,440,42
157,8,2023-11-18,820,49
158,23,2024-03-14,504,34
159,29,2023-03-07,428,44
160,7,2023-05-17,843,41
161,39,2024-06-28,595,41
162,40,2023-02-18,322,16
163,27,2024-10-21,246,48
164,50,2024-12-03,784,21
165,24,2023-12-18,684,23
166,49,2023-01-23,967,21
167,28,2024-11-27,545,35
168,36,2024-06-05,476,36
169,11,2024-08-22,488,50
170,25,2023-11-08,917,0
171,6,2023-04-17,845,11
172,23,2024-01-24,776,2
173,40,2023-07-10,879,16
174,46,2024-03-18,947,39
175,12,2023-06-03,611,14
176,40,2023-05-25,613,19
177,33,2024-07-12,989,16
178,3,2023-01-03,333,16
179,14,2024-09-17,864,17
180,13,2024-09-19,896,12
181,7,2023-04-30,967,45
182,28,2024-06-25,486,18
183,30,2023-01-20,564,28
184,37,2023-09-30,455,18
185,35,2024-02-27,850,44
186,41,2024-05-09,973,18
187,16,2023-09-16,811,17
188,31,2024-07-23,216,9
189,10,2024-02-29,316,38
190,11,2024-06-05,385,50
191,10,2023-04-08,212,42
192,1,2024-03-29,331,45
193,2,2023-03-08,785,48
194,32,2024-01-16,778,8
195,50,2024-12-12,910,35
196,5,2023-05-22,227,11
197,19,2024-08-24,975,17
198,43,2024-04-29,855,36
199,39,2024-10-17,917,15
200,28,2023-03-11,746,0
201,34,2023-07-08,898,44
202,42,2024-04-20,293,24
203,24,2023-03-21,901,23
204,11,2024-10-01,350,41
205,35,2023-05-05,264,20
206,10,2023-10-02,476,3
207,31,2024-10-14,254,17
208,16,2024-05-29,669,15
209,22,2023-11-20,678,35
210,40,2024-07-28,854,48
211,47,2023-06-30,888,37
212,18,2024-02-08,685,4
213,19,2023-11-14,826,48
214,45,2024-06-06,949,6
215,11,2023-10-18,952,28
216,18,2023-03-30,903,14
217,41,2023-11-12,742,24
218,13,2024-05-22,435,18
219,12,2023-04-22,934,19
220,18,2023-03-26,520,2
221,31,2023-06-14,227,35
222,29,2023-03-10,633,26
223,42,2023-11-18,244,4
224,31,2024-02-06,562,9
225,37,2023-08-18,236,34
226,25,2023-05-29,624,13
227,50,2024-02-15,250,45
228,1,2024-12-04,820,22
229,32,2023-09-11,892,45
230,42,2024-08-02,504,15
231,25,2024-06-18,913,31
232,11,2024-06-25,627,15
233,44,2024-01-30,416,34
234,39,2024-12-14,915,2
235,9,2023-09-27,838,23
236,13,2024-10-19,488,20
237,46,2023-05-13,687,37
238,9,2024-09-15,638,15
239,45,2023-05-27,445,33
240,20,2023-06-06,311,1
241,29,2023-12-06,259,27
242,38,2023-09-05,498,33
243,49,2023-11-21,233,23
244,4,2023-09-07,679,13
245,16,2023-05-31,636,43
246,13,2023-07-04,260,34
247,3,2023-05-12,262,32
248,41,2023-04-03,931,50
249,32,2023-07-31,267,14
250,40,2024-07-03,333,47
251,14,2023-08-12,918,25
252,45,2023-05-28,468,20
253,12,2023-02-21,364,32
254,19,2024-06-04,243,16
255,42,2024-07-13,440,48
256,23,2023-11-16,547,30
257,15,2023-12-03,447,17
258,35,2024-09-14,571,16
259,27,2023-11-12,858,33
260,41,2023-02-24,347,44
261,34,2024-07-25,217,26
262,41,2024-02-10,228,48
263,1,2023-01-16,235,46
264,48,2023-10-09,934,8
265,24,2023-10-26,377,4
266,26,2024-01-23,307,18
267,45,2023-11-14,989,44
268,21,2023-02-09,994,41
269,26,2024-11-16,262,4
270,32,2024-11-10,503,31
271,30,2023-06-07,873,23
272,25,2024-04-24,498,45
273,11,2024-02-03,331,12
274,33,2023-12-29,368,42
275,31,2024-03-17,796,22
276,44,2023-06-20,529,6
277,47,2024-06-13,965,23
278,41,2024-08-21,218,23
279,39,2023-08-15,299,4
280,30,2023-02-13,450,7
281,33,2024-06-11,987,16
282,29,2024-09-25,520,42
283,45,2024-07-26,365,33
284,7,2024-05-14,575,33
285,7,2024-12-14,772,6
286,41,2024-12-18,786,5
287,15,2023-03-29,952,41
288,11,2024-12-13,319,42
289,11,2024-04-18,810,31
290,25,2023-12-29,794,11
291,11,2024-07-26,903,24
292,36,2024-12-05,237,4
293,42,2024-01-18,708,24
294,35,2024-12-11,680,33
295,16,2023-07-21,291,24
296,6,2024-05-03,731,18
297,10,2023-06-11,465,39
298,39,2023-12-09,813,4
299,34,2023-03-09,870,8
300,46,2024-11-05,358,36
301,2,2024-03-06,279,9
302,39,2023-06-19,404,3
303,50,2023-05-08,781,35
304,40,2024-01-06,484,9
305,23,2024-01-04,920,48
306,11,2024-09-06,610,22
307,2,2024-07-16,707,37
308,44,2023-03-24,894,16
309,26,2024-04-22,960,39
310,45,2023-10-06,553,28
311,18,2023-02-17,542,20
312,27,2023-12-22,821,27
313,1,2024-06-11,344,20
314,46,2024-10-03,966,48
315,49,2023-11-26,602,25
316,15,2024-03-20,963,49
317,31,2023-07-19,295,15
318,21,2023-04-26,947,17
319,36,2024-05-17,339,26
320,17,2023-07-18,795,3
321,3,2023-10-12,510,10
322,8,2023-05-19,725,33
323,13,2024-12-13,842,36
324,11,2023-02-19,213,44
325,47,2024-04-27,210,43
326,7,2023-08-07,957,2
327,28,2023-04-10,357,8
328,31,2023-05-02,406,18
329,21,2024-11-04,348,7
330,29,2024-08-27,837,18
331,41,2024-03-21,302,6
332,47,2024-04-08,216,25
333,26,2023-08-11,720,32
334,24,2023-09-27,688,33
335,10,2024-01-16,786,31
336,43,2023-07-27,349,41
337,42,2024-02-10,901,32
338,16,2024-04-05,548,9
339,10,2024-06-20,789,44
340,23,2024-12-15,828,5
341,26,2024-10-21,981,25
342,2,2024-09-16,551,18
343,37,2024-03-11,558,25
344,36,2023-05-19,666,31
345,22,2024-11-20,652,29
346,4,2024-06-23,937,6
347,33,2024-08-31,961,49
348,25,2024-09-23,331,19
349,41,2024-07-30,898,25
350,35,2023-02-26,395,24
351,9,2023-04-29,416,2
352,1,2024-04-03,398,30
353,2,2023-06-05,250,13
354,22,2023-06-19,790,5
355,12,2023-01-23,457,32
356,6,2024-04-16,522,9
357,38,2023-05-04,620,45
358,43,2023-05-01,804,49
359,29,2023-01-28,693,41
360,15,2024-05-02,886,6
361,23,2024-10-30,215,8
362,11,2024-04-08,300,9
363,8,2024-03-27,297,15
364,39,2024-06-09,788,11
365,6,2023-05-22,380,50
366,9,2024-01-20,982,10
367,2,2023-02-02,725,1
368,39,2023-05-11,729,11
369,7,2024-09-03,683,39
370,27,2024-06-10,236,26
371,23,2024-09-19,862,25
372,32,2024-06-23,360,15
373,16,2024-12-02,655,38
374,28,2023-08-14,431,27
375,32,2024-01-28,863,50
376,9,2023-08-17,765,26
377,30,2023-06-05,996,25
378,36,2024-03-10,496,21
379,36,2024-11-23,736,29
380,6,2024-03-06,876,41
381,47,2024-02-22,476,46
382,36,2023-05-11,623,28
383,45,2023-07-31,903,0
384,43,2023-12-28,972,23
385,33,2023-09-06,416,40
386,16,2024-01-27,875,40
387,10,2024-10-26,934,37
388,22,2023-11-02,871,38
389,9,2023-08-26,870,39
390,23,2023-02-21,404,34
391,20,2023-09-14,875,13
392,19,2024-07-02,773,13
393,35,2023-08-20,764,48
394,32,2023-01-09,871,27
395,18,2023-04-27,447,2
396,39,2023-01-20,700,12
397,34,2024-12-03,466,49
398,25,2023-02-19,905,48
399,30,2024-11-25,280,25
400,29,2024-08-29,645,5
401,24,2024-10-20,969,9
402,44,2023-01-04,376,2
403,23,2023-07-14,782,39
404,27,2023-07-13,249,50
405,47,2024-05-25,408,7
406,25,2024-06-07,910,16
407,48,2023-10-19,806,8
408,31,2023-01-13,262,40
409,32,2023-03-06,598,9
410,27,2024-12-04,614,16
411,8,2023-05-24,344,39
412,22,2024-01-30,749,28
413,40,2024-09-15,973,38
414,6,2024-02-13,486,20
415,18,2024-03-09,944,29
416,2,2024-02-06,377,23
417,26,2023-02-01,520,11
418,5,2023-02-23,205,36
419,15,2024-06-29,363,34
420,18,2023-07-19,639,15
421,17,2023-04-07,348,44
422,46,2024-01-05,201,31
423,9,2024-08-14,277,10
424,25,2024-03-14,802,48
425,8,2023-11-13,896,0
426,40,2024-03-19,443,5
427,35,2023-08-17,696,27
428,13,2024-03-10,395,26
429,50,2024-08-19,785,35
430,39,2024-03-13,488,48
431,49,2023-09-06,315,44
432,48,2023-03-19,711,22
433,35,2024-01-27,388,44
434,34,2024-10-06,285,46
435,2,2024-01-27,352,19
436,31,2024-03-21,840,37
437,21,2023-03-20,448,0
438,5,2024-09-18,556,13
439,27,2024-08-15,585,17
440,10,2023-02-08,607,0
441,19,2023-02-02,209,8
442,46,2024-06-03,555,19
443,43,2024-08-09,725,50
444,40,2023-11-06,214,1
445,33,2023-06-01,836,20
446,19,2023-01-26,305,49
447,19,2024-08-13,438,0
448,22,2023-12-10,305,42
449,26,2023-04-22,555,13
450,22,2023-04-24,558,5
451,27,2023-01-25,606,46
452,42,2023-12-18,741,20
453,47,2024-07-19,485,32
454,20,2023-05-19,241,39
455,42,2024-12-09,894,43
456,1,2023-07-29,383,34
457,42,2024-02-15,254,12
458,9,2024-01-16,924,13
459,29,2023-07-07,967,14
460,23,2023-08-26,349,32
461,29,2023-05-24,530,26
462,47,2023-03-23,723,21
463,11,2023-03-14,329,21
464,11,2023-08-15,713,1
465,14,2023-08-18,794,1
466,39,2024-02-25,927,23
467,2,2024-07-27,940,4
468,25,2023-09-20,861,45
469,48,2023-01-04,699,50
470,46,2024-03-16,926,9
471,14,2023-08-15,514,14
472,28,2024-06-03,626,38
473,36,2023-06-29,897,12
474,15,2024-03-19,713,31
475,37,2023-05-13,344,44
476,41,2024-10-03,434,0
477,16,2023-10-07,642,35
478,13,2024-12-14,484,12
479,17,2024-02-14,251,41
480,38,2023-11-14,630,26
481,37,2023-09-20,573,19
482,4,2023-06-18,961,7
483,29,2023-12-08,893,19
484,16,2023-06-12,535,39
485,47,2024-11-20,457,40
486,10,2024-07-26,631,14
487,24,2023-02-18,778,23
488,2,2024-04-23,554,33
489,41,2024-06-14,573,27
490,17,2024-09-29,500,10
491,15,2023-07-24,636,28
492,7,2024-06-17,205,24
493,21,2024-08-29,417,11
494,21,2023-09-19,232,33
495,49,2024-11-25,448,37
496,4,2024-04-26,898,22
497,35,2023-01-27,971,40
498,34,2024-07-15,888,32
499,32,2024-06-22,649,34
500,23,2023-06-01,220,39
501,46,2023-06-22,725,33
502,29,2023-03-04,423,27
503,38,2024-10-21,408,40
504,5,2024-08-23,548,50
505,39,2024-03-29,915,16
506,32,2024-01-24,971,25
507,37,2023-07-23,359,6
508,23,2024-10-17,814,4
509,42,2023-12-09,929,7
510,11,2023-11-14,613,11
511,3,2024-12-01,905,21
512,13,2023-01-22,643,41
513,14,2024-04-22,318,7
514,48,2023-10-24,310,35
515,45,2023-04-29,387,24
516,31,2023-09-02,606,19
517,48,2024-07-18,611,25
518,16,2023-06-28,508,16
519,39,2023-08-23,889,31
520,1,2023-02-10,528,7
521,23,2023-12-24,638,21
522,4,2024-07-27,719,38
523,45,2023-08-01,704,7
524,8,2024-06-01,977,41
525,42,2024-07-05,968,44
526,48,2024-05-14,693,49
527,14,2024-03-16,593,5
528,49,2024-01-15,956,5
529,1,2024-01-09,514,35
530,41,2024-03-17,787,32
531,4,2023-05-12,228,5
532,28,2023-11-24,597,45
533,11,2023-08-31,430,12
534,30,2023-07-12,577,46
535,37,2024-05-11,471,43
536,20,2024-01-15,230,41
537,39,2023-12-25,697,30
538,37,2023-06-14,340,2
539,43,2024-12-13,932,20
540,15,2023-08-04,951,33
541,6,2024-03-22,738,28
542,15,2024-11-29,728,2
543,50,2023-10-08,436,25
544,3,2024-09-16,436,17
545,25,2023-10-03,390,40
546,35,2024-12-18,746,30
547,23,2023-03-05,818,9
548,18,2023-08-05,489,23
549,36,2024-05-26,535,6
550,14,2024-02-12,371,24
551,18,2023-04-28,602,15
552,45,2024-03-03,315,24
553,24,2023-04-17,940,15
554,8,2024-09-22,607,3
555,24,2023-12-27,969,2
556,44,2024-09-13,380,45
557,7,2023-07-31,224,29
558,28,2024-07-06,290,35
559,17,2024-11-22,873,19
560,38,2023-07-12,833,26
561,24,2024-08-21,811,22
562,3,2023-08-28,561,8
563,46,2024-01-03,952,43
564,9,2023-06-08,581,4
565,24,2024-03-07,278,10
566,36,2024-05-19,921,5
567,25,2023-12-29,991,33
568,40,2024-07-08,315,33
569,46,2024-10-26,542,2
570,10,2023-09-10,282,48
571,35,2024-07-20,891,35
572,36,2023-07-25,960,29
573,42,2024-01-09,849,43
574,34,2023-04-03,1000,16
575,20,2024-08-10,305,19
576,49,2024-11-08,366,12
577,21,2024-03-06,432,30
578,38,2024-09-05,413,12
579,25,2024-08-29,426,29
580,31,2024-09-19,628,8
581,34,2023-01-21,633,26
582,47,2024-10-27,800,5
583,14,2024-05-06,696,14
584,33,2023-05-08,634,30
585,40,2023-02-05,915,26
586,19,2024-09-12,813,23
587,13,2023-05-19,494,9
588,7,2024-03-12,581,41
589,17,2023-10-18,234,37
590,23,2024-03-30,756,41
591,17,2023-03-29,445,32
592,17,2024-05-07,212,1
593,9,2024-02-25,774,8
594,21,2023-07-11,314,28
595,4,2024-05-04,319,24
596,38,2023-05-28,570,6
597,11,2024-05-25,207,16
598,4,2023-03-08,392,44
599,2,2024-01-14,735,12
600,43,2024-03-30,242,4
601,34,2024-08-15,921,7
602,39,2023-01-31,327,36
603,9,2023-03-17,680,9
604,14,2024-06-26,248,20
605,21,2023-06-30,530,26
606,5,2023-01-07,862,37
607,25,2023-02-05,348,7
608,19,2024-11-02,727,41
609,19,2024-09-27,601,44
610,42,2023-05-02,713,37
611,45,2023-10-13,969,7
612,15,2023-02-15,412,31
613,4,2023-06-14,942,18
614,32,2023-09-22,409,49
615,22,2024-04-29,365,18
616,20,2024-04-03,753,32
617,9,2024-07-03,206,37
618,46,2024-05-17,449,17
619,47,2024-01-06,723,45
620,42,2023-05-12,952,44
621,30,2023-09-29,864,38
622,5,2023-11-25,279,46
623,31,2024-02-05,496,31
624,39,2024-04-18,461,1
625,35,2023-11-10,428,23
626,23,2023-09-14,466,2
627,44,2024-12-07,861,26
628,50,2024-11-10,410,19
629,25,2023-07-16,607,33
630,27,2023-01-13,724,25
631,28,2023-06-30,350,20
632,3,2024-07-29,604,42
633,16,2023-10-24,282,5
634,8,2023-07-29,326,43
635,20,2023-07-31,305,5
636,27,2024-09-18,315,8
637,12,2023-11-27,528,22
638,27,2024-07-18,426,41
639,42,2023-09-02,963,9
640,8,2023-07-04,588,18
641,39,2023-08-28,495,36
642,11,2024-07-24,746,30
643,1,2023-03-09,326,32
644,37,2023-03-28,857,39
645,11,2024-02-23,483,1
646,13,2023-09-19,924,17
647,30,2024-01-30,935,5
648,8,2024-08-08,475,27
649,24,2024-06-26,722,35
650,39,2024-09-10,248,14
651,22,2023-01-26,225,3
652,49,2024-09-23,544,37
653,10,2023-05-08,937,32
654,27,2024-02-12,802,22
655,46,2024-05-20,656,20
656,17,2023-06-10,813,19
657,17,2023-01-17,973,1
658,8,2024-05-18,775,37
659,49,2024-04-12,243,19
660,13,2024-08-26,429,3
661,36,2023-04-21,827,39
662,18,2023-06-03,508,0
663,33,2024-07-22,438,6
664,23,2024-07-02,685,35
665,36,2024-03-08,526,10
666,45,2024-09-11,805,44
667,6,2023-10-30,630,41
668,37,2023-10-05,977,23
669,11,2024-11-14,749,27
670,2,2023-06-30,521,36
671,22,2024-08-09,603,27
672,16,2024-05-17,471,34
673,36,2024-02-05,989,28
674,5,2024-01-25,417,18
675,37,2024-04-06,470,29
676,35,2023-06-14,688,8
677,48,2023-05-05,957,41
678,46,2023-06-14,416,44
679,7,2024-12-10,399,4
680,28,2023-08-24,940,29
681,17,2024-06-28,287,21
682,12,2024-10-15,997,17
683,5,2023-10-06,248,21
684,5,2023-07-18,281,31
685,14,2023-09-04,735,18
686,34,2024-12-10,789,47
687,36,2024-06-04,276,22
688,26,2024-03-26,738,38
689,26,2024-03-25,826,35
690,15,2023-10-24,953,7
691,30,2023-04-10,444,50
692,13,2024-01-02,897,49
693,11,2024-09-30,611,48
694,35,2023-09-19,571,20
695,41,2023-10-03,954,44
696,21,2023-04-06,258,23
697,7,2023-12-28,616,38
698,45,2024-06-20,536,46
699,2,2023-05-02,292,23
700,1,2023-11-14,935,40
701,20,2024-05-10,623,5
702,22,2023-12-03,247,25
703,36,2023-09-21,933,28
704,41,2023-05-22,406,16
705,40,2023-05-06,943,17
706,47,2023-12-19,785,9
707,48,2024-05-26,732,42
708,44,2023-06-12,953,46
709,35,2023-08-21,352,17
710,12,2023-08-06,749,1
711,19,2024-07-07,896,39
712,46,2024-04-29,319,44
713,50,2023-11-11,422,9
714,37,2024-04-20,832,25
715,25,2024-02-02,433,29
716,47,2024-07-21,311,10
717,33,2024-10-23,848,15
718,13,2023-01-01,541,38
719,45,2023-05-16,385,39
720,2,2023-01-26,774,9
721,35,2024-05-23,993,48
722,32,2024-09-15,615,33
723,24,2023-11-09,329,45
724,30,2024-09-13,812,1
725,44,2023-04-07,886,39
726,42,2023-10-06,657,2
727,46,2024-01-06,996,47
728,34,2024-09-09,597,8
729,32,2023-12-30,553,15
730,40,2023-04-02,622,21
731,35,2023-11-10,762,30
732,11,2024-04-13,801,17
733,42,2024-10-20,654,12
734,29,2024-09-13,818,6
735,12,2024-03-18,516,14
736,11,2023-06-27,205,28
737,9,2024-05-24,206,29
738,2,2023-06-25,847,22
739,35,2024-08-10,665,42
740,2,2024-10-18,307,26
741,32,2023-01-17,617,49
742,9,2023-09-09,817,12
743,47,2024-10-24,723,20
744,21,2023-07-04,286,26
745,6,2024-02-28,308,42
746,3,2024-01-15,564,15
747,27,2023-12-15,927,19
748,15,2024-03-18,274,31
749,39,2024-12-21,305,2
750,1,2024-02-09,666,15
751,42,2024-10-25,665,36
752,26,2023-03-16,723,41
753,34,2024-09-16,388,6
754,37,2023-03-06,699,8
755,13,2023-08-27,224,43
756,11,2023-03-31,414,24
757,11,2023-10-12,473,38
758,8,2023-11-23,639,50
759,29,2024-08-22,949,13
760,15,2024-09-05,981,38
761,45,2023-11-21,982,35
762,42,2024-11-11,639,46
763,32,2023-07-13,392,11
764,6,2023-11-10,748,27
765,4,2023-03-01,465,40
766,37,2023-06-02,828,1
767,10,2024-03-28,834,47
768,40,2023-02-19,495,46
769,1,2024-06-06,266,30
770,20,2023-09-07,281,4
771,50,2024-05-07,267,3
772,24,2023-09-17,458,19
773,17,2023-11-20,764,30
774,19,2023-07-06,897,48
775,47,2024-10-01,670,16
776,41,2023-04-27,360,3
777,31,2024-03-22,984,24
778,19,2024-08-05,620,37
779,34,2023-08-03,648,47
780,32,2024-09-18,439,37
781,21,2024-12-06,283,46
782,2,2024-11-15,933,30
783,9,2024-05-16,951,45
784,32,2024-08-24,575,45
785,26,2024-07-10,953,19
786,47,2023-09-01,702,10
787,15,2024-11-27,769,15
788,18,2024-06-15,649,26
789,15,2023-03-01,865,11
790,28,2024-09-18,867,49
791,29,2024-10-04,355,0
792,37,2023-07-19,594,20
793,50,2023-01-26,684,33
794,8,2023-11-21,869,40
795,45,2024-01-10,869,32
796,7,2024-08-13,834,14
797,30,2023-09-24,783,21
798,26,2023-06-21,923,1
799,12,2024-11-30,817,31
800,22,2024-01-06,586,46
801,37,2023-02-26,654,38
802,35,2024-09-15,807,18
803,17,2023-12-24,777,1
804,6,2023-01-23,631,25
805,18,2023-09-03,823,16
806,47,2024-08-26,671,20
807,12,2023-04-18,684,11
808,29,2023-01-03,734,37
809,34,2023-10-17,850,1
810,23,2023-01-05,782,27
811,36,2023-06-03,318,40
812,17,2023-06-28,832,20
813,42,2023-07-30,734,18
814,1,2024-12-13,449,2
815,49,2023-01-11,321,41
816,10,2023-12-23,801,10
817,38,2024-07-14,453,35
818,9,2023-05-17,764,38
819,25,2024-11-06,687,30
820,40,2024-08-27,698,29
821,15,2024-01-31,938,42
822,9,2023-11-23,203,29
823,37,2023-01-08,325,45
824,36,2024-10-10,472,8
825,14,2024-09-07,732,39
826,37,2023-02-19,718,22
827,45,2023-04-17,818,28
828,34,2024-12-16,846,45
829,35,2024-07-24,699,2
830,18,2023-08-15,504,40
831,19,2023-09-09,555,47
832,6,2023-01-25,882,18
833,46,2023-09-06,709,38
834,3,2023-03-31,322,29
835,11,2024-11-05,773,30
836,8,2024-11-27,972,29
837,46,2024-04-30,631,32
838,7,2024-06-03,458,16
839,24,2024-11-23,768,50
840,35,2023-11-05,594,16
841,22,2023-12-03,477,34
842,21,2023-03-17,670,49
843,39,2023-03-21,333,7
844,42,2023-03-03,960,20
845,28,2024-12-17,477,33
846,5,2023-05-02,846,40
847,19,2023-05-03,568,21
848,10,2024-01-22,899,44
849,50,2023-03-03,463,49
850,14,2024-10-11,456,17
851,23,2024-09-27,225,41
852,21,2023-11-21,288,28
853,21,2023-08-17,465,9
854,5,2024-03-18,743,18
855,44,2023-01-14,394,48
856,43,2024-07-23,601,30
857,18,2024-03-01,595,5
858,9,2023-12-23,230,42
859,44,2023-02-19,737,32
860,40,2024-12-07,348,27
861,17,2023-02-01,958,13
862,1,2023-07-03,720,11
863,29,2023-03-31,631,36
864,40,2024-02-06,479,15
865,45,2024-12-05,684,25
866,18,2024-01-14,281,7
867,19,2023-09-09,865,12
868,49,2024-11-05,627,28
869,39,2023-08-29,287,32
870,19,2024-05-05,554,20
871,18,2024-04-07,541,46
872,41,2023-08-12,378,3
873,28,2023-06-23,541,22
874,24,2023-11-28,330,19
875,42,2024-07-24,731,42
876,3,2024-03-15,380,50
877,32,2024-01-07,879,35
878,12,2023-12-07,388,47
879,37,2023-11-23,916,9
880,31,2023-05-28,238,48
881,35,2023-11-09,611,30
882,9,2023-04-09,489,37
883,1,2023-05-08,674,2
884,21,2023-07-28,883,36
885,6,2023-12-19,268,27
886,10,2023-04-11,672,3
887,14,2024-07-10,603,6
888,38,2024-02-04,491,33
889,25,2023-10-06,351,13
890,3,2023-01-07,390,1
891,16,2024-08-23,849,37
892,16,2024-05-08,786,41
893,15,2024-10-29,921,25
894,8,2023-12-23,292,48
895,33,2024-05-22,905,2
896,42,2023-11-20,479,18
897,13,2023-05-19,862,25
898,2,2024-07-25,944,22
899,22,2023-08-09,864,40
900,30,2024-09-18,298,26
901,28,2024-07-02,839,14
902,26,2023-06-13,216,27
903,47,2023-06-04,706,26
904,41,2024-07-10,315,26
905,30,2023-01-04,495,44
906,26,2024-07-21,687,27
907,23,2023-10-08,675,11
908,49,2023-10-01,926,15
909,40,2023-02-14,596,12
910,32,2023-08-03,941,3
911,16,2024-08-04,892,43
912,39,2023-10-01,702,6
913,27,2024-06-24,257,47
914,25,2023-09-28,865,49
915,37,2024-02-20,367,40
916,24,2023-08-17,394,13
917,30,2024-08-20,460,20
918,28,2023-03-31,779,47
919,9,2023-08-02,362,8
920,46,2023-04-19,370,2
921,18,2023-06-09,961,36
922,23,2023-07-11,426,30
923,37,2024-01-28,953,8
924,35,2023-08-12,485,6
925,36,2023-05-20,298,38
926,1,2023-12-31,873,29
927,48,2024-07-14,365,10
928,46,2023-06-12,678,29
929,17,2024-08-11,581,29
