order_id,customer_id,order_date,delivery_date,total_amount
49,55,2023-08-28,2023-09-03,113018.84
50,25,2023-09-15,2023-09-23,36719.32
51,19,2023-11-14,2023-11-21,26933.93
52,12,2023-03-18,2023-03-21,10327.92
53,39,2024-09-13,2024-09-23,24615.36
54,59,2024-04-05,2024-04-13,26850.45
55,4,2024-07-29,2024-08-01,21563.5
56,8,2023-09-14,2023-09-18,110813.03
57,93,2024-08-02,2024-08-05,17715.6
58,9,2024-11-09,2024-11-16,33010.2
59,77,2023-05-18,2023-05-21,23078.85
60,48,2023-01-21,2023-01-29,16932.78
61,79,2024-05-05,2024-05-14,116106.28
62,71,2023-08-14,2023-08-21,2891.7
63,60,2024-10-21,2024-10-28,7484.4
64,27,2023-09-08,2023-09-15,73893.07
65,6,2024-10-13,2024-10-18,90951.58
66,52,2024-12-14,2024-12-18,139961.05
67,96,2023-08-11,2023-08-14,137352.38
68,74,2023-04-01,2023-04-08,102959.4
69,33,2023-05-26,2023-06-03,72153.88
70,42,2023-02-05,2023-02-13,40385.56
71,74,2023-03-12,2023-03-15,93385.93
72,1,2023-04-16,2023-04-21,47866.92
73,1,2024-03-19,2024-03-25,50134.49
74,92,2023-03-20,2023-03-28,22804.34
75,63,2024-07-21,2024-07-29,60647.48
76,27,2024-04-12,2024-04-21,57093.33
77,86,2024-04-25,2024-05-03,101147.58
78,72,2024-11-22,2024-11-27,41973.09
79,30,2024-10-07,2024-10-13,36590.44
80,1,2024-03-26,2024-03-31,162599.76
81,24,2023-12-24,2023-12-27,60840.34
82,72,2024-01-31,2024-02-08,113999.48
83,94,2024-11-21,2024-11-26,21666.5
84,22,2024-06-02,2024-06-09,29040.42
85,17,2024-04-16,2024-04-21,70206.56
86,29,2023-01-23,2023-01-30,140925.37
87,39,2023-10-06,2023-10-15,116232.1
88,25,2023-09-25,2023-10-05,81298.35
89,71,2023-08-17,2023-08-26,38146.3
90,42,2024-05-28,2024-06-02,104541.15
91,64,2024-11-21,2024-11-30,56787.07
92,52,2023-05-26,2023-05-31,81010.03
93,24,2024-04-17,2024-04-27,61425.64
94,9,2024-12-11,2024-12-19,46410.75
95,86,2024-10-07,2024-10-12,39577.12
96,86,2023-12-16,2023-12-22,30197.28
97,89,2024-09-25,2024-09-29,9148.48
98,22,2024-08-31,2024-09-05,100921.8
99,21,2023-01-13,2023-01-16,78650.44
100,82,2024-08-11,2024-08-17,105700.08
101,16,2023-04-09,2023-04-18,88943.57
102,62,2023-02-07,2023-02-17,34552.15
103,67,2024-01-30,2024-02-04,20224.2
104,93,2023-10-29,2023-11-07,114508.88
105,100,2024-11-06,2024-11-15,107692.27
106,43,2023-05-05,2023-05-13,13369.2
107,7,2024-07-25,2024-08-02,17380.65
108,34,2024-06-08,2024-06-16,182980.32
109,58,2024-06-05,2024-06-10,130200.57
110,83,2023-08-19,2023-08-28,138372.0
111,1,2023-03-31,2023-04-09,158024.49
112,8,2024-05-30,2024-06-05,213490.36
113,19,2023-06-04,2023-06-12,15729.91
114,74,2024-11-16,2024-11-20,96143.46
115,79,2023-03-24,2023-03-30,75887.76
116,81,2024-10-02,2024-10-09,42762.54
117,100,2024-05-20,2024-05-30,65093.79
118,20,2023-07-12,2023-07-17,103677.1
119,81,2023-11-26,2023-12-01,124222.14
120,85,2024-11-23,2024-12-01,30544.37
121,63,2024-09-19,2024-09-26,46287.2
122,88,2023-10-20,2023-10-26,30890.16
123,53,2024-08-20,2024-08-23,88898.0
124,79,2024-09-19,2024-09-23,65380.05
125,11,2023-08-18,2023-08-28,92804.33
126,53,2023-06-09,2023-06-19,58615.4
127,18,2024-08-11,2024-08-15,97636.48
128,78,2023-10-14,2023-10-18,151838.74
129,94,2023-07-04,2023-07-08,136216.81
130,33,2023-09-28,2023-10-05,107802.14
131,64,2024-11-10,2024-11-16,7847.7
132,6,2024-01-22,2024-01-31,127942.17
133,2,2024-12-02,2024-12-06,91393.28
134,6,2024-05-03,2024-05-09,168025.25
135,6,2023-12-31,2024-01-08,145835.57
136,44,2023-10-14,2023-10-18,29811.69
137,22,2023-11-17,2023-11-20,40095.9
138,39,2024-03-10,2024-03-14,49629.64
139,41,2023-09-08,2023-09-18,31481.49
140,82,2023-06-10,2023-06-19,80486.74
141,61,2024-03-02,2024-03-08,34509.6
142,31,2023-02-09,2023-02-15,73333.44
143,17,2023-06-07,2023-06-12,108186.45
144,5,2023-01-30,2023-02-05,41767.02
145,53,2023-08-11,2023-08-20,58324.84
146,82,2024-05-16,2024-05-22,54491.85
147,57,2023-11-24,2023-11-29,93623.33
148,41,2024-04-14,2024-04-21,128415.22
149,7,2023-09-19,2023-09-28,30362.27
150,88,2023-08-05,2023-08-13,62312.9
151,58,2024-01-08,2024-01-11,22759.38
152,95,2023-09-29,2023-10-07,76571.63
153,15,2023-01-18,2023-01-28,136271.63
154,71,2024-07-27,2024-07-31,75184.63
155,41,2024-01-05,2024-01-11,25325.8
156,35,2023-11-13,2023-11-19,38653.97
157,19,2023-01-23,2023-02-02,108779.14
158,30,2023-06-13,2023-06-22,32645.76
159,51,2024-07-18,2024-07-27,63058.8
160,49,2024-07-29,2024-08-08,120803.55
161,89,2023-05-24,2023-05-31,210081.6
162,64,2024-08-05,2024-08-15,110615.51
163,68,2023-03-20,2023-03-23,40941.96
164,54,2024-09-14,2024-09-24,125458.47
165,39,2023-10-18,2023-10-28,67049.76
166,37,2023-11-24,2023-11-29,142282.27
167,74,2024-06-27,2024-07-04,96289.35
168,93,2024-06-03,2024-06-13,47041.56
169,14,2024-11-06,2024-11-14,52629.56
170,80,2024-01-11,2024-01-14,37107.79
171,63,2023-08-25,2023-09-04,55712.62
172,88,2024-02-11,2024-02-19,10038.08
173,23,2024-11-26,2024-12-02,19688.55
174,94,2024-01-09,2024-01-14,17042.39
175,40,2024-05-24,2024-06-01,55008.08
176,57,2023-08-05,2023-08-15,57884.16
177,49,2023-07-11,2023-07-18,152052.44
178,19,2023-01-05,2023-01-15,6022.38
179,58,2023-02-21,2023-02-25,70124.62
180,49,2024-08-05,2024-08-10,50479.8
181,62,2024-10-23,2024-11-02,116820.04
182,13,2024-08-21,2024-08-27,29410.56
183,13,2024-03-03,2024-03-08,32716.38
184,77,2023-06-26,2023-07-05,17611.1
185,31,2024-02-29,2024-03-06,27307.4
186,50,2024-05-28,2024-06-06,95628.82
187,68,2024-01-24,2024-01-28,51665.36
188,100,2023-06-10,2023-06-17,69650.98
189,24,2024-04-27,2024-05-02,16101.52
190,49,2024-08-01,2024-08-04,14227.2
191,85,2023-03-20,2023-03-28,102931.18
192,85,2024-01-13,2024-01-21,41513.18
193,71,2024-04-02,2024-04-08,25208.29
194,55,2023-09-13,2023-09-19,91886.79
195,51,2023-04-05,2023-04-10,31719.05
196,18,2023-10-06,2023-10-12,54352.62
197,56,2024-07-20,2024-07-29,17271.95
198,47,2023-10-29,2023-11-04,126748.52
199,83,2023-02-04,2023-02-13,120576.85
200,59,2023-03-06,2023-03-15,53702.55
201,20,2023-03-16,2023-03-23,96231.12
202,70,2024-10-05,2024-10-08,132034.72
203,67,2024-01-24,2024-01-27,100357.08
204,58,2024-05-08,2024-05-17,67915.34
205,90,2023-11-29,2023-12-07,2550.8
206,95,2023-08-20,2023-08-25,72744.38
207,90,2024-08-06,2024-08-16,16627.36
208,15,2024-02-29,2024-03-06,119834.27
209,69,2023-10-19,2023-10-23,34498.8
210,72,2023-11-13,2023-11-16,45248.48
211,54,2023-06-23,2023-06-27,90814.64
212,69,2024-08-23,2024-08-29,51239.01
213,80,2023-03-04,2023-03-14,127134.66
214,36,2024-07-15,2024-07-19,16311.33
215,94,2024-09-20,2024-09-23,32820.48
216,6,2024-12-08,2024-12-17,89180.25
217,48,2023-07-08,2023-07-11,146366.1
218,94,2024-07-12,2024-07-17,40422.96
219,22,2023-01-31,2023-02-08,49394.4
220,62,2024-01-28,2024-02-01,78143.29
221,14,2024-11-15,2024-11-19,25983.41
222,30,2024-10-02,2024-10-06,8315.58
223,15,2024-04-17,2024-04-27,7557.44
224,42,2023-02-19,2023-02-28,134470.66
225,46,2024-10-17,2024-10-20,43203.72
226,86,2023-09-26,2023-09-29,91923.68
227,82,2024-08-04,2024-08-09,19869.3
228,14,2024-10-11,2024-10-19,14284.96
229,58,2024-10-25,2024-11-03,28720.17
230,78,2023-07-08,2023-07-11,55222.13
231,48,2023-04-05,2023-04-15,35860.06
232,13,2023-12-26,2024-01-04,122572.16
233,5,2023-01-21,2023-01-26,22454.7
234,4,2023-11-15,2023-11-18,44001.01
235,89,2023-06-26,2023-07-03,36952.86
236,75,2024-02-26,2024-03-06,97379.83
237,89,2023-01-21,2023-01-29,127551.18
238,23,2023-03-17,2023-03-25,48462.6
239,72,2024-09-29,2024-10-02,154872.75
240,91,2023-03-15,2023-03-23,5992.15
241,42,2023-11-23,2023-12-03,25255.59
242,16,2023-02-19,2023-02-28,55296.68
243,76,2024-10-16,2024-10-20,53162.67
244,92,2024-05-18,2024-05-28,84365.25
245,52,2024-08-28,2024-09-05,58509.6
246,23,2023-08-29,2023-09-06,82864.4
247,54,2024-04-11,2024-04-14,86171.09
248,61,2024-06-06,2024-06-10,59559.83
249,57,2023-11-22,2023-11-25,140654.52
250,51,2023-05-28,2023-06-02,9856.8
251,2,2024-06-17,2024-06-24,110220.71
252,35,2023-09-17,2023-09-20,49084.57
253,2,2024-11-26,2024-11-29,41955.92
254,66,2024-10-26,2024-10-31,46942.32
255,54,2024-10-15,2024-10-24,43986.38
256,88,2023-09-19,2023-09-28,10313.66
257,96,2023-02-21,2023-02-26,91706.56
258,5,2024-03-20,2024-03-28,7847.7
259,8,2023-09-08,2023-09-16,62131.14
260,13,2024-12-13,2024-12-22,27092.06
261,53,2024-09-03,2024-09-10,13693.12
262,92,2023-10-01,2023-10-04,214371.01
263,11,2023-07-29,2023-08-02,74918.79
264,9,2023-11-19,2023-11-25,85457.07
265,41,2024-03-06,2024-03-16,92888.43
266,57,2024-03-06,2024-03-14,81222.03
267,99,2023-07-30,2023-08-08,84068.52
268,76,2024-02-23,2024-02-29,91277.98
269,27,2023-04-13,2023-04-18,66452.69
270,82,2023-01-29,2023-02-05,23167.0
271,38,2024-08-25,2024-08-31,56127.0
272,83,2024-09-10,2024-09-14,126921.97
273,67,2023-08-21,2023-08-26,125960.04
274,82,2023-02-23,2023-02-28,50900.85
275,20,2023-08-26,2023-09-01,88825.9
276,77,2024-01-10,2024-01-14,104259.44
277,29,2024-08-12,2024-08-22,57379.19
278,92,2024-12-11,2024-12-16,138974.87
279,80,2024-03-08,2024-03-11,225471.82
280,95,2023-07-16,2023-07-24,134185.12
281,40,2023-11-24,2023-11-30,72231.9
282,73,2024-08-04,2024-08-11,118504.07
283,50,2023-03-30,2023-04-04,134080.16
284,7,2024-03-21,2024-03-26,5034.24
285,73,2023-06-24,2023-07-03,107824.57
286,9,2023-12-10,2023-12-20,51757.92
287,70,2024-08-22,2024-09-01,106896.73
288,78,2023-11-07,2023-11-15,95794.34
289,8,2023-09-03,2023-09-11,43946.18
290,69,2023-06-11,2023-06-16,99471.28
291,2,2024-06-25,2024-07-04,58617.5
292,27,2024-08-05,2024-08-08,37311.53
293,2,2024-05-19,2024-05-29,14894.1
294,4,2023-08-04,2023-08-09,57240.77
295,21,2023-07-28,2023-08-05,51108.39
296,73,2023-05-03,2023-05-10,134696.46
297,55,2024-05-12,2024-05-16,47003.1
298,17,2023-04-24,2023-05-01,92936.19
299,8,2024-03-07,2024-03-12,56724.34
300,6,2023-07-30,2023-08-02,79490.7
301,54,2023-09-30,2023-10-06,52088.64
302,77,2023-03-16,2023-03-20,111959.24
303,59,2024-03-29,2024-04-01,32606.32
304,66,2023-04-29,2023-05-08,11396.7
305,35,2023-03-16,2023-03-20,81594.83
306,84,2024-12-05,2024-12-09,13016.9
307,28,2024-07-29,2024-08-08,67613.98
308,4,2024-12-10,2024-12-18,129501.67
309,9,2024-07-30,2024-08-05,44619.04
310,7,2024-08-29,2024-09-08,78047.12
311,33,2023-02-01,2023-02-07,93626.5
312,90,2023-02-02,2023-02-08,53384.46
313,32,2024-11-09,2024-11-19,69725.72
314,31,2024-01-23,2024-02-02,145373.22
315,43,2023-10-22,2023-10-27,122077.32
316,8,2023-12-29,2024-01-03,53247.63
317,71,2024-10-09,2024-10-16,10927.44
318,87,2023-12-30,2024-01-06,28368.45
319,40,2024-05-13,2024-05-22,29546.63
320,86,2024-04-18,2024-04-25,103342.28
321,14,2023-07-22,2023-07-30,113436.93
322,52,2024-10-06,2024-10-16,37597.71
323,31,2024-06-02,2024-06-06,51327.51
324,14,2024-06-08,2024-06-15,50491.8
325,98,2023-11-11,2023-11-20,91236.08
326,11,2024-06-26,2024-07-04,37987.32
327,81,2024-11-18,2024-11-23,14561.07
328,54,2024-03-27,2024-04-02,6842.85
329,22,2023-03-27,2023-04-02,115157.15
330,82,2023-01-11,2023-01-19,73584.08
331,87,2024-09-18,2024-09-23,55413.28
332,85,2024-05-25,2024-06-04,74064.92
333,33,2023-05-31,2023-06-09,78837.06
334,65,2024-12-21,2024-12-25,178839.15
335,92,2023-03-21,2023-03-27,67758.9
336,77,2024-11-17,2024-11-23,99643.72
337,58,2024-03-17,2024-03-21,59863.3
338,36,2023-11-23,2023-12-01,110816.2
339,61,2024-09-24,2024-09-27,10624.32
340,99,2023-08-13,2023-08-17,101611.9
341,57,2024-10-15,2024-10-18,3279.6
342,3,2023-12-23,2024-01-01,59179.68
343,32,2023-07-16,2023-07-24,91111.6
344,96,2023-12-14,2023-12-20,101021.67
345,12,2023-03-08,2023-03-17,52158.34
346,48,2023-06-24,2023-07-04,33263.46
347,72,2024-06-06,2024-06-13,61581.63
348,93,2024-10-07,2024-10-16,54238.96
349,97,2024-11-24,2024-12-03,28782.6
350,1,2024-09-28,2024-10-01,156291.71
351,42,2024-10-23,2024-10-28,35178.64
352,90,2024-11-30,2024-12-08,77123.58
353,3,2024-03-21,2024-03-31,220673.21
354,46,2023-01-23,2023-01-26,102238.86
355,98,2024-11-23,2024-11-26,75684.84
356,87,2023-09-30,2023-10-09,73190.56
357,80,2024-08-24,2024-09-01,36319.64
358,79,2023-04-07,2023-04-10,198265.56
359,95,2024-11-01,2024-11-07,2079.44
360,78,2023-05-21,2023-05-25,72211.3
361,3,2024-09-19,2024-09-24,65740.16
362,58,2023-09-11,2023-09-14,42887.39
363,41,2024-04-18,2024-04-28,31476.88
364,56,2023-11-03,2023-11-13,44009.72
365,13,2024-03-21,2024-03-31,41662.78
366,11,2024-09-12,2024-09-17,26613.2
367,66,2024-05-25,2024-06-02,129884.95
368,43,2023-10-25,2023-10-30,72466.2
369,68,2023-02-05,2023-02-15,14631.03
370,20,2023-01-27,2023-01-31,82299.85
371,89,2024-06-10,2024-06-18,125035.09
372,33,2024-07-16,2024-07-24,89134.45
373,19,2024-02-21,2024-02-29,35396.92
374,90,2024-11-25,2024-12-05,98323.8
375,96,2024-07-06,2024-07-15,81785.63
376,73,2023-08-07,2023-08-12,35274.74
377,23,2023-02-28,2023-03-05,70618.87
378,65,2024-11-09,2024-11-19,164745.62
379,37,2023-11-07,2023-11-16,70309.44
380,28,2024-01-17,2024-01-20,134325.45
381,49,2024-01-12,2024-01-18,39604.06
382,11,2023-08-17,2023-08-24,100985.25
383,31,2023-04-13,2023-04-18,54894.34
384,21,2024-03-20,2024-03-27,83953.25
385,53,2024-06-11,2024-06-15,117229.23
386,2,2024-10-02,2024-10-11,83539.59
387,81,2024-04-27,2024-05-07,56385.67
388,94,2024-04-26,2024-05-03,17652.24
389,49,2024-04-26,2024-04-30,36374.04
390,67,2023-12-21,2023-12-28,19393.6
391,43,2024-03-13,2024-03-22,39589.48
392,29,2024-09-24,2024-09-29,147744.54
393,40,2024-04-21,2024-04-30,66846.0
394,7,2023-11-02,2023-11-09,131055.47
395,86,2023-06-06,2023-06-16,29506.2
396,97,2024-11-11,2024-11-15,22333.9
397,43,2023-03-08,2023-03-15,151860.34
398,1,2024-03-15,2024-03-19,29396.53
399,1,2023-08-11,2023-08-17,101645.75
400,49,2023-10-22,2023-10-29,213402.38
401,46,2024-11-06,2024-11-13,87866.96
402,33,2024-03-16,2024-03-26,53694.08
403,76,2024-09-22,2024-09-30,22963.5
404,32,2024-07-23,2024-08-01,73362.06
405,95,2024-03-04,2024-03-10,67079.34
406,17,2023-04-27,2023-05-05,29688.84
407,51,2024-01-31,2024-02-08,27136.08
408,87,2023-07-22,2023-07-29,123181.98
409,62,2023-01-06,2023-01-14,53880.59
410,47,2024-01-07,2024-01-15,64089.28
411,69,2024-09-06,2024-09-15,83877.06
412,55,2024-01-20,2024-01-27,56968.3
413,80,2024-01-21,2024-01-31,32457.32
414,12,2024-07-22,2024-07-26,152143.14
415,85,2024-04-03,2024-04-06,68764.95
416,47,2023-09-15,2023-09-22,89409.28
417,43,2023-06-26,2023-06-29,44281.05
418,93,2024-06-29,2024-07-03,56615.81
419,100,2023-08-05,2023-08-13,42123.51
420,29,2024-10-29,2024-11-01,150171.76
421,2,2023-09-20,2023-09-25,17988.94
422,58,2023-08-08,2023-08-16,56657.29
423,18,2023-07-31,2023-08-03,41601.84
424,58,2023-06-08,2023-06-13,103554.34
425,20,2024-02-14,2024-02-22,68441.66
426,42,2024-03-22,2024-03-25,37060.68
427,75,2024-07-03,2024-07-12,95680.56
428,85,2023-03-14,2023-03-22,36722.41
429,81,2023-11-10,2023-11-16,51882.64
430,58,2024-06-15,2024-06-18,19506.35
431,90,2023-03-30,2023-04-06,57921.23
432,78,2024-07-18,2024-07-26,33307.95
433,54,2024-01-18,2024-01-24,37423.36
434,49,2023-06-26,2023-07-02,48291.58
435,97,2024-10-31,2024-11-03,50649.9
436,52,2024-11-17,2024-11-20,77663.98
437,27,2023-03-22,2023-03-27,72125.44
438,69,2024-12-21,2024-12-31,97661.23
439,100,2024-10-01,2024-10-05,148789.27
440,49,2023-12-20,2023-12-30,70170.69
441,59,2023-04-10,2023-04-14,11979.32
442,47,2023-11-03,2023-11-09,126119.77
443,77,2023-08-23,2023-08-27,164033.31
444,79,2024-07-28,2024-08-03,40281.62
445,44,2023-06-22,2023-06-29,218676.6
446,45,2023-02-10,2023-02-16,130537.87
447,16,2023-10-17,2023-10-24,32562.0
448,65,2024-07-05,2024-07-08,76320.8
449,20,2024-03-30,2024-04-03,104609.91
450,88,2023-11-30,2023-12-10,88996.66
451,49,2023-05-28,2023-06-06,81955.8
452,75,2023-11-20,2023-11-25,62322.83
453,43,2023-12-06,2023-12-13,97552.68
454,90,2023-09-07,2023-09-10,33817.73
455,17,2024-09-07,2024-09-12,42146.49
456,14,2023-02-22,2023-02-28,65895.33
457,99,2024-12-01,2024-12-11,39765.84
458,71,2023-02-28,2023-03-06,146445.08
459,34,2024-02-12,2024-02-20,74009.06
460,61,2024-10-12,2024-10-22,17548.54
461,86,2023-01-17,2023-01-26,156830.89
462,78,2023-02-22,2023-03-04,93207.04
463,8,2024-01-09,2024-01-19,41708.73
464,28,2023-06-08,2023-06-12,125118.52
465,67,2023-06-08,2023-06-11,42264.04
466,96,2023-05-08,2023-05-17,22152.48
467,53,2024-04-04,2024-04-12,152124.51
468,28,2024-03-05,2024-03-15,92031.89
469,39,2023-06-14,2023-06-19,14731.92
470,29,2024-12-03,2024-12-06,73371.72
471,98,2024-08-20,2024-08-30,96570.91
472,3,2024-01-30,2024-02-06,123045.13
473,10,2024-09-05,2024-09-15,10630.1
474,89,2024-01-24,2024-02-03,47650.88
475,48,2023-07-14,2023-07-18,16580.2
476,91,2024-01-02,2024-01-07,36736.56
477,20,2024-09-15,2024-09-23,105024.02
478,85,2023-09-30,2023-10-08,35388.18
479,94,2024-02-22,2024-02-26,28882.93
480,6,2024-03-16,2024-03-20,71778.58
481,11,2023-09-14,2023-09-21,33302.48
482,9,2023-12-22,2023-12-28,45648.81
483,90,2024-07-26,2024-08-05,105306.15
484,100,2023-07-06,2023-07-16,49670.15
485,31,2023-08-11,2023-08-20,43841.98
486,52,2024-08-31,2024-09-05,22191.12
487,68,2023-04-15,2023-04-21,13746.4
488,83,2024-02-21,2024-02-24,136382.77
489,97,2023-02-14,2023-02-17,40992.33
490,92,2023-12-21,2023-12-30,76508.64
491,4,2024-03-08,2024-03-17,17538.56
492,90,2024-05-09,2024-05-14,128535.12
493,50,2024-12-01,2024-12-06,35603.77
494,71,2024-11-01,2024-11-06,108646.1
495,66,2023-01-10,2023-01-20,82294.09
496,80,2024-04-28,2024-05-07,105872.02
497,99,2024-07-15,2024-07-24,133216.8
498,33,2024-04-17,2024-04-22,52581.9
499,65,2024-02-29,2024-03-06,115615.96
500,20,2024-07-07,2024-07-15,116826.82
501,39,2024-12-20,2024-12-30,22082.85
502,80,2023-09-05,2023-09-08,71772.96
503,60,2023-07-15,2023-07-24,2375.21
504,43,2023-01-27,2023-02-06,86219.28
505,43,2024-03-05,2024-03-11,81612.44
506,19,2023-10-22,2023-10-25,72031.11
507,22,2024-08-09,2024-08-14,60799.61
508,83,2023-04-30,2023-05-09,142456.38
509,4,2024-05-15,2024-05-18,44634.33
510,69,2023-04-29,2023-05-02,49722.22
511,59,2024-12-08,2024-12-12,20582.1
512,95,2024-11-26,2024-12-05,133880.5
513,63,2024-01-18,2024-01-21,19471.1
514,12,2023-09-19,2023-09-27,102208.09
515,83,2023-10-14,2023-10-17,76191.9
516,4,2024-12-20,2024-12-30,30609.6
517,17,2023-12-18,2023-12-25,53234.71
518,44,2023-09-15,2023-09-18,195246.46
519,68,2023-08-19,2023-08-29,87229.99
520,100,2023-04-25,2023-05-02,9239.85
521,67,2024-09-07,2024-09-12,97116.77
522,51,2024-05-02,2024-05-10,11675.04
523,28,2024-11-24,2024-12-03,113067.27
524,2,2024-09-18,2024-09-24,23010.48
525,94,2023-11-29,2023-12-06,33697.7
526,44,2024-02-11,2024-02-16,62666.1
527,63,2024-05-30,2024-06-02,37270.32
528,20,2024-05-21,2024-05-31,23284.46
529,14,2023-04-25,2023-05-01,85606.8
530,79,2024-10-03,2024-10-07,98956.89
531,26,2024-12-12,2024-12-19,94268.04
532,47,2023-05-26,2023-06-02,45547.14
533,69,2023-03-29,2023-04-03,55233.74
534,53,2024-11-17,2024-11-24,38701.35
535,16,2023-09-13,2023-09-23,55513.25
536,37,2023-05-24,2023-05-27,115459.52
537,99,2023-08-13,2023-08-20,72254.0
538,81,2024-01-06,2024-01-10,37431.98
539,8,2024-06-28,2024-07-07,32261.04
540,86,2024-06-12,2024-06-21,34084.78
541,85,2023-03-31,2023-04-10,123755.22
542,37,2023-03-04,2023-03-08,8405.73
543,33,2024-10-31,2024-11-04,54478.65
544,7,2024-04-25,2024-05-03,62860.48
545,53,2023-07-12,2023-07-15,86171.48
546,2,2024-07-05,2024-07-14,12121.2
547,63,2024-01-07,2024-01-14,35487.65
548,76,2024-04-09,2024-04-13,88400.61
549,90,2023-11-19,2023-11-23,76775.72
550,69,2024-05-30,2024-06-03,23780.52
551,13,2023-12-26,2024-01-01,176761.36
552,54,2023-11-22,2023-12-02,75261.2
553,24,2023-10-29,2023-11-08,10810.24
554,5,2024-02-06,2024-02-16,36907.57
555,66,2024-07-11,2024-07-21,20631.8
556,88,2023-05-16,2023-05-19,76684.2
557,70,2024-03-26,2024-04-03,14047.08
558,52,2023-08-06,2023-08-13,49774.62
559,65,2023-04-10,2023-04-17,1999.91
560,84,2024-02-04,2024-02-08,71618.14
561,28,2023-01-14,2023-01-24,51532.51
562,95,2023-05-12,2023-05-17,24635.8
563,70,2023-12-27,2024-01-05,20016.44
564,16,2023-10-19,2023-10-23,36847.95
565,80,2024-11-23,2024-11-28,109384.56
566,40,2023-08-22,2023-08-27,84936.75
567,13,2023-06-03,2023-06-07,82652.27
568,3,2024-04-03,2024-04-12,229316.11
569,45,2024-02-20,2024-02-29,80207.73
570,78,2023-05-28,2023-06-02,8247.12
571,52,2023-12-28,2024-01-02,191936.4
572,55,2024-05-05,2024-05-10,65704.47
573,3,2024-04-13,2024-04-21,95109.16
574,56,2024-04-19,2024-04-23,110660.8
575,77,2023-03-04,2023-03-13,163655.61
576,55,2023-05-09,2023-05-14,103270.09
577,31,2023-05-07,2023-05-12,71214.64
578,77,2023-10-11,2023-10-16,18450.9
579,78,2024-06-01,2024-06-08,98553.86
580,47,2024-08-19,2024-08-29,79083.68
581,100,2024-08-04,2024-08-09,86042.8
582,19,2024-07-26,2024-07-29,26525.21
583,57,2024-01-02,2024-01-06,159086.03
584,83,2024-03-11,2024-03-21,106097.31
585,30,2024-02-19,2024-02-23,15237.12
586,86,2023-01-11,2023-01-15,138381.49
587,1,2024-09-21,2024-09-28,109791.03
588,88,2023-07-16,2023-07-19,60099.43
589,2,2024-10-23,2024-10-29,77807.29
590,60,2024-09-16,2024-09-22,42827.16
591,91,2024-08-15,2024-08-22,145093.71
592,47,2024-02-17,2024-02-27,72594.51
593,51,2024-04-17,2024-04-23,191041.26
594,78,2023-09-23,2023-09-27,106178.52
595,97,2023-10-23,2023-11-01,22588.15
596,59,2023-11-13,2023-11-19,137022.88
597,29,2023-04-08,2023-04-13,20217.44
598,16,2023-03-19,2023-03-27,112393.65
599,28,2024-04-29,2024-05-04,15304.8
600,24,2023-07-11,2023-07-17,70774.58
601,90,2024-01-17,2024-01-22,138085.86
602,29,2024-06-03,2024-06-12,75706.83
603,94,2024-10-31,2024-11-10,53810.96
604,21,2024-06-28,2024-07-04,20398.3
605,15,2023-10-25,2023-10-28,123533.31
606,6,2023-08-14,2023-08-21,89401.37
