report_id,batch_id,inspection_date,quality_score,remarks
145,145,2023-03-04,92.58,OK
146,146,2024-05-08,73.17,Minor Issue
147,147,2023-05-14,82.56,Minor Issue
148,148,2023-08-17,90.59,Minor Issue
149,149,2024-01-29,89.96,Rejected
150,150,2023-03-28,83.67,Minor Issue
151,151,2024-03-22,75.91,Minor Issue
152,152,2024-01-29,89.4,OK
153,153,2024-07-13,94.08,OK
154,154,2023-01-30,95.44,Minor Issue
155,155,2023-11-15,94.08,OK
156,156,2024-04-02,81.02,Minor Issue
157,157,2024-06-07,76.25,Minor Issue
158,158,2024-04-14,72.79,Minor Issue
159,159,2023-01-07,72.81,OK
160,160,2024-01-22,85.3,Rejected
161,161,2024-05-07,75.49,Rejected
162,162,2023-10-07,92.74,Minor Issue
163,163,2023-08-24,81.06,Rejected
164,164,2023-01-19,86.92,Minor Issue
165,165,2023-10-12,83.65,Rejected
166,166,2023-04-07,96.96,Rejected
167,167,2023-11-16,86.86,Minor Issue
168,168,2023-03-22,72.5,OK
169,169,2023-02-13,83.63,OK
170,170,2023-07-29,82.58,Rejected
171,171,2023-06-03,77.33,Minor Issue
172,172,2024-06-18,91.17,Rejected
173,173,2023-04-19,74.73,OK
174,174,2024-04-28,93.11,Rejected
175,175,2023-12-25,94.88,OK
176,176,2023-12-02,96.27,OK
177,177,2024-05-07,74.24,Minor Issue
178,178,2024-08-23,91.71,Minor Issue
179,179,2024-05-03,70.84,OK
180,180,2023-06-30,82.82,Rejected
181,181,2023-09-26,96.42,Minor Issue
182,182,2023-06-25,86.82,Minor Issue
183,183,2024-10-12,82.71,Minor Issue
184,184,2024-10-10,97.48,OK
185,185,2023-08-16,90.08,Rejected
186,186,2023-05-30,72.8,Minor Issue
187,187,2024-06-02,91.58,Minor Issue
188,188,2023-09-10,87.29,OK
189,189,2024-06-15,71.71,Rejected
190,190,2023-03-31,71.84,Rejected
191,191,2023-04-11,81.8,Minor Issue
192,192,2024-05-12,96.06,Minor Issue
193,193,2023-09-08,89.84,OK
194,194,2024-11-14,80.56,Rejected
195,195,2024-11-04,86.73,Minor Issue
196,196,2023-02-09,85.41,OK
197,197,2024-09-17,77.74,Minor Issue
198,198,2023-10-13,83.56,OK
199,199,2023-04-17,81.34,OK
200,200,2023-07-03,71.12,Rejected
201,201,2023-06-03,80.83,Rejected
202,202,2024-07-01,92.15,OK
203,203,2023-04-24,84.58,Rejected
204,204,2024-11-19,95.63,OK
205,205,2024-06-20,96.93,OK
206,206,2023-04-24,77.7,Rejected
207,207,2024-07-19,85.52,Minor Issue
208,208,2023-05-23,85.73,OK
209,209,2023-11-26,84.13,Rejected
210,210,2023-02-27,72.56,Rejected
211,211,2023-09-08,71.96,Rejected
212,212,2024-11-21,93.45,OK
213,213,2023-12-29,93.66,OK
214,214,2023-12-18,93.44,OK
215,215,2023-11-29,80.09,OK
216,216,2023-04-26,95.07,Minor Issue
217,217,2023-08-07,87.6,Minor Issue
218,218,2023-04-02,72.44,Rejected
219,219,2024-04-20,87.47,Rejected
220,220,2024-08-28,77.78,OK
221,221,2024-02-27,80.39,OK
222,222,2023-02-13,80.55,Rejected
223,223,2024-08-08,94.4,Minor Issue
224,224,2023-07-23,85.74,Rejected
225,225,2023-10-20,84.3,Minor Issue
226,226,2023-11-17,81.31,OK
227,227,2024-02-18,80.12,OK
228,228,2024-10-24,78.25,Minor Issue
229,229,2023-06-04,96.3,Rejected
230,230,2023-02-09,96.7,Minor Issue
231,231,2024-09-10,96.35,OK
232,232,2024-08-27,73.73,Rejected
233,233,2024-05-25,75.76,OK
234,234,2023-04-21,91.06,OK
235,235,2024-08-08,93.22,Minor Issue
236,236,2023-07-18,96.19,Minor Issue
237,237,2024-09-10,96.83,Rejected
238,238,2023-09-28,97.31,Rejected
239,239,2023-03-16,76.69,OK
240,240,2024-10-17,87.51,OK
241,241,2023-12-24,80.55,Rejected
242,242,2024-07-31,79.67,Rejected
243,243,2023-11-17,92.66,Rejected
244,244,2023-01-16,74.61,Rejected
245,245,2023-03-14,90.5,Rejected
246,246,2024-01-25,72.43,OK
247,247,2023-03-25,85.67,OK
248,248,2024-09-03,85.84,Rejected
249,249,2023-02-04,90.14,OK
250,250,2024-04-11,82.36,OK
251,251,2023-03-14,96.42,OK
252,252,2023-05-29,93.09,Rejected
253,253,2024-10-07,76.8,Minor Issue
254,254,2024-11-25,88.36,Rejected
255,255,2023-06-03,94.01,OK
256,256,2023-01-08,96.16,Minor Issue
257,257,2023-04-16,83.25,Rejected
258,258,2024-08-21,96.69,Minor Issue
259,259,2023-07-02,90.64,Rejected
260,260,2024-02-26,85.99,Minor Issue
261,261,2024-01-03,76.51,Rejected
262,262,2024-09-29,72.33,OK
263,263,2023-03-23,89.28,Rejected
264,264,2024-11-16,77.74,Minor Issue
265,265,2024-07-21,71.19,Minor Issue
266,266,2024-09-30,85.76,Minor Issue
267,267,2023-08-06,94.79,Minor Issue
268,268,2024-06-28,70.3,Minor Issue
269,269,2024-02-13,92.33,Rejected
270,270,2024-10-20,97.69,OK
271,271,2023-12-15,79.11,Minor Issue
272,272,2023-08-18,72.31,Rejected
273,273,2024-01-23,86.15,OK
274,274,2024-06-27,87.77,Rejected
275,275,2024-05-13,84.91,Rejected
276,276,2024-06-12,84.73,OK
277,277,2024-05-07,71.25,Rejected
278,278,2023-10-24,79.15,Minor Issue
279,279,2023-08-14,97.77,Minor Issue
280,280,2023-05-30,76.38,OK
281,281,2023-04-14,85.78,Rejected
282,282,2023-03-28,86.8,Rejected
283,283,2023-12-15,95.75,OK
284,284,2023-02-20,95.49,Rejected
285,285,2024-04-21,85.91,OK
286,286,2023-03-24,86.15,Minor Issue
287,287,2024-10-19,83.55,OK
288,288,2024-03-30,88.66,Rejected
289,289,2024-08-06,76.52,OK
290,290,2024-01-29,76.06,OK
291,291,2023-03-11,79.87,Rejected
292,292,2023-12-14,94.22,Minor Issue
293,293,2023-03-30,73.2,OK
294,294,2024-10-26,73.14,Rejected
295,295,2024-03-16,74.15,OK
296,296,2024-08-15,80.93,OK
297,297,2023-05-09,95.7,Minor Issue
298,298,2023-05-01,85.97,Minor Issue
299,299,2024-02-08,90.17,Minor Issue
300,300,2024-09-05,86.69,Rejected
301,301,2023-07-12,93.82,Rejected
302,302,2024-08-11,79.28,Minor Issue
303,303,2023-09-27,89.11,Rejected
304,304,2024-12-16,82.85,OK
305,305,2023-05-19,82.18,OK
306,306,2024-06-07,81.69,OK
307,307,2023-09-05,74.71,OK
308,308,2023-09-19,90.08,Minor Issue
309,309,2023-05-01,92.89,Minor Issue
310,310,2024-09-03,77.68,Minor Issue
311,311,2023-02-14,74.64,OK
312,312,2024-06-12,80.99,Rejected
313,313,2024-05-03,88.99,OK
314,314,2023-03-31,88.67,Minor Issue
315,315,2024-08-08,82.81,OK
316,316,2023-09-18,97.46,Minor Issue
317,317,2023-10-27,88.8,OK
318,318,2024-01-11,94.77,OK
319,319,2023-01-12,76.17,Rejected
320,320,2024-02-20,83.93,Rejected
321,321,2024-02-20,72.44,OK
322,322,2023-11-23,76.03,Rejected
323,323,2024-07-19,70.95,Rejected
324,324,2023-09-24,70.24,Minor Issue
325,325,2023-06-30,86.84,Rejected
326,326,2023-06-28,85.57,Rejected
327,327,2023-12-27,97.76,Rejected
328,328,2023-12-13,84.51,OK
329,329,2023-10-28,85.21,OK
330,330,2023-01-21,77.92,Rejected
331,331,2024-01-07,85.28,Minor Issue
332,332,2024-04-19,75.53,Rejected
333,333,2024-03-28,81.0,Rejected
334,334,2024-11-01,92.42,OK
335,335,2023-12-30,87.59,Rejected
336,336,2024-06-01,87.82,OK
337,337,2023-03-31,96.67,OK
338,338,2024-08-02,97.5,Rejected
339,339,2024-02-02,71.47,Minor Issue
340,340,2023-02-07,92.88,Rejected
341,341,2023-09-29,77.52,Minor Issue
342,342,2024-08-05,76.91,Rejected
343,343,2024-03-15,89.58,OK
344,344,2024-09-27,84.04,Minor Issue
345,345,2024-03-11,74.74,Rejected
346,346,2024-10-16,89.26,Rejected
347,347,2024-05-07,84.22,OK
348,348,2024-03-02,85.97,Minor Issue
349,349,2023-04-29,71.13,Rejected
350,350,2024-05-13,82.15,Rejected
351,351,2024-06-12,92.89,Minor Issue
352,352,2024-03-18,76.07,OK
353,353,2024-07-05,77.82,OK
354,354,2024-07-04,95.36,OK
355,355,2024-09-10,92.57,OK
356,356,2024-11-12,80.5,Minor Issue
357,357,2024-04-16,75.78,Minor Issue
358,358,2024-01-09,80.68,Rejected
359,359,2024-08-25,85.56,Rejected
360,360,2023-05-31,97.39,Rejected
361,361,2024-03-08,73.04,Rejected
362,362,2024-06-06,74.38,OK
363,363,2023-06-10,95.18,Minor Issue
364,364,2024-11-11,74.34,Rejected
365,365,2023-10-01,93.4,OK
366,366,2024-06-01,94.46,Rejected
367,367,2023-09-29,96.49,Minor Issue
368,368,2024-02-22,73.21,OK
369,369,2024-08-27,97.08,OK
370,370,2023-07-28,73.56,Minor Issue
371,371,2024-07-16,87.35,Rejected
372,372,2024-08-11,72.9,Minor Issue
373,373,2024-01-07,71.11,OK
374,374,2024-08-03,89.98,OK
375,375,2024-03-21,87.06,Minor Issue
376,376,2024-06-26,84.97,OK
377,377,2024-03-12,79.35,Minor Issue
378,378,2023-01-10,80.83,Rejected
379,379,2024-11-13,81.72,Minor Issue
380,380,2023-09-05,84.11,Minor Issue
381,381,2023-10-07,91.76,Minor Issue
382,382,2023-08-25,87.22,OK
383,383,2023-09-22,74.61,OK
384,384,2024-05-29,92.2,Rejected
385,385,2024-08-28,91.89,OK
386,386,2023-08-06,74.91,Minor Issue
387,387,2024-09-25,71.73,Rejected
388,388,2024-07-10,80.22,Rejected
389,389,2024-05-06,97.78,Rejected
390,390,2023-01-31,95.42,OK
391,391,2023-08-26,86.03,Rejected
392,392,2024-08-17,93.7,Rejected
393,393,2023-12-15,88.7,OK
394,394,2024-06-24,83.79,Rejected
395,395,2024-01-21,91.04,OK
396,396,2023-02-15,95.46,Rejected
397,397,2023-10-22,93.34,Rejected
398,398,2023-08-10,85.55,Rejected
399,399,2023-03-01,88.85,Rejected
400,400,2024-09-30,86.08,Rejected
401,401,2024-04-24,91.58,Minor Issue
402,402,2023-01-27,82.35,Minor Issue
403,403,2023-08-25,79.17,Minor Issue
404,404,2024-09-02,92.85,Rejected
405,405,2023-11-29,90.74,OK
406,406,2024-06-02,83.06,Rejected
407,407,2024-04-28,87.53,Minor Issue
408,408,2023-07-09,94.13,Minor Issue
409,409,2023-08-11,97.22,OK
410,410,2024-05-15,75.38,OK
411,411,2023-01-15,73.77,Minor Issue
412,412,2024-03-19,91.89,OK
413,413,2024-02-19,71.41,Rejected
414,414,2024-06-22,92.98,Rejected
415,415,2024-11-05,84.74,OK
416,416,2024-12-02,90.61,Rejected
417,417,2024-05-30,92.73,Rejected
418,418,2023-06-23,80.16,OK
419,419,2024-12-02,85.59,Rejected
420,420,2023-04-29,88.25,OK
421,421,2023-03-09,96.41,Rejected
422,422,2024-04-27,90.49,Minor Issue
423,423,2024-08-06,72.44,Minor Issue
424,424,2024-07-14,84.31,Minor Issue
425,425,2024-10-17,75.43,Minor Issue
426,426,2023-09-13,85.37,OK
427,427,2024-10-16,75.66,Minor Issue
428,428,2024-11-06,94.54,Minor Issue
429,429,2023-08-05,92.82,Minor Issue
430,430,2023-12-15,80.4,OK
431,431,2024-07-08,95.34,OK
432,432,2023-05-11,86.04,Minor Issue
433,433,2023-06-06,90.12,OK
434,434,2024-06-10,77.23,Rejected
435,435,2024-06-20,83.93,Minor Issue
436,436,2023-07-17,87.43,OK
437,437,2024-10-31,87.66,OK
438,438,2023-08-25,89.83,OK
439,439,2023-01-29,88.04,Rejected
440,440,2024-08-04,70.43,Rejected
441,441,2024-09-06,71.05,Rejected
442,442,2024-10-27,70.01,OK
443,443,2024-10-19,86.99,OK
444,444,2024-01-25,88.93,Minor Issue
445,445,2023-03-18,82.37,OK
446,446,2024-02-05,85.31,Minor Issue
447,447,2024-07-02,79.68,OK
448,448,2023-05-14,84.12,Minor Issue
449,449,2024-03-10,97.44,Rejected
450,450,2023-06-13,95.54,OK
451,451,2023-03-06,71.32,OK
452,452,2024-01-11,92.79,OK
453,453,2023-03-07,74.39,Rejected
454,454,2023-09-26,83.87,Minor Issue
455,455,2024-11-16,87.96,Minor Issue
456,456,2024-08-10,80.46,Rejected
457,457,2024-11-06,87.94,Rejected
458,458,2023-06-25,74.53,OK
459,459,2023-05-01,94.95,Minor Issue
460,460,2024-07-21,79.76,OK
461,461,2024-03-29,95.71,Minor Issue
462,462,2023-01-16,74.32,OK
463,463,2024-06-25,76.4,OK
464,464,2023-03-29,83.36,Minor Issue
465,465,2024-11-13,86.78,OK
466,466,2024-01-16,75.07,OK
467,467,2023-01-24,75.36,Rejected
468,468,2024-01-30,89.15,OK
469,469,2024-09-09,71.02,OK
470,470,2023-05-20,78.15,OK
471,471,2023-12-31,71.91,Rejected
472,472,2023-08-24,74.65,Rejected
473,473,2023-03-05,95.88,Rejected
474,474,2023-04-27,73.99,Rejected
475,475,2023-05-26,89.44,Rejected
476,476,2024-03-26,79.3,Minor Issue
477,477,2023-04-12,85.17,OK
478,478,2024-02-21,70.44,OK
479,479,2023-10-18,88.1,OK
480,480,2024-09-19,73.26,OK
481,481,2023-12-19,72.32,Rejected
482,482,2023-07-13,72.34,Minor Issue
483,483,2023-02-23,81.75,Rejected
484,484,2023-11-09,75.84,OK
485,485,2024-05-21,75.0,OK
486,486,2024-11-10,91.52,Minor Issue
487,487,2023-09-17,90.3,Rejected
488,488,2023-02-11,75.82,Minor Issue
489,489,2023-10-15,74.66,Rejected
490,490,2024-03-02,76.99,Minor Issue
491,491,2024-09-03,73.91,Rejected
492,492,2024-05-02,70.41,Minor Issue
493,493,2023-04-09,75.99,OK
494,494,2023-12-09,95.0,Minor Issue
495,495,2023-08-17,75.75,Rejected
496,496,2024-01-29,76.01,Minor Issue
497,497,2023-10-30,79.19,OK
498,498,2023-07-30,86.83,Minor Issue
499,499,2024-11-17,74.91,OK
500,500,2024-05-30,91.42,Rejected
501,501,2024-07-31,71.25,Minor Issue
502,502,2024-02-11,70.28,Rejected
503,503,2024-01-13,82.62,OK
504,504,2023-01-16,86.94,Minor Issue
505,505,2023-07-25,73.51,Minor Issue
506,506,2023-03-17,90.77,OK
507,507,2023-09-16,93.27,Minor Issue
508,508,2023-03-29,73.8,OK
509,509,2023-05-04,75.33,Minor Issue
510,510,2023-01-13,75.89,OK
511,511,2024-04-03,96.66,OK
512,512,2023-03-19,70.47,OK
513,513,2024-05-31,79.37,OK
514,514,2023-11-27,78.41,Minor Issue
515,515,2023-06-28,87.22,Minor Issue
516,516,2024-01-10,92.26,OK
517,517,2023-09-27,96.75,Minor Issue
518,518,2023-04-29,70.04,Minor Issue
519,519,2023-07-12,72.29,Rejected
520,520,2024-07-24,90.32,Minor Issue
521,521,2024-11-02,74.07,Minor Issue
522,522,2024-06-12,80.43,OK
523,523,2023-08-25,73.07,OK
524,524,2023-09-25,80.96,OK
525,525,2024-04-21,87.23,Rejected
526,526,2024-05-04,93.11,Minor Issue
527,527,2024-06-07,75.81,Minor Issue
528,528,2024-05-31,81.27,Rejected
529,529,2023-03-29,81.61,Minor Issue
530,530,2024-09-26,87.03,OK
531,531,2023-11-16,90.31,Rejected
532,532,2024-10-18,82.27,OK
533,533,2023-07-15,90.91,OK
534,534,2023-08-22,97.69,OK
535,535,2024-04-28,70.69,OK
536,536,2024-04-29,90.43,Minor Issue
537,537,2024-03-06,84.14,OK
538,538,2023-06-11,82.98,OK
539,539,2024-12-05,81.4,Rejected
540,540,2024-01-10,73.72,OK
541,541,2024-06-21,73.22,OK
542,542,2024-06-09,70.02,Rejected
543,543,2023-07-04,87.36,OK
544,544,2023-07-11,78.67,Minor Issue
545,545,2024-07-02,72.71,Rejected
546,546,2023-01-04,92.49,Minor Issue
547,547,2023-12-06,87.44,Rejected
548,548,2023-05-02,75.32,OK
549,549,2023-07-21,89.48,Minor Issue
550,550,2023-04-29,80.01,OK
551,551,2023-06-04,87.02,Rejected
552,552,2024-07-10,96.6,Minor Issue
553,553,2024-02-13,72.07,Rejected
554,554,2023-11-11,91.32,Minor Issue
555,555,2024-04-16,97.49,OK
556,556,2023-10-28,83.09,Rejected
557,557,2024-05-23,80.31,OK
558,558,2024-05-30,81.43,OK
559,559,2024-05-17,84.08,OK
560,560,2024-10-16,81.88,Rejected
561,561,2023-01-30,73.87,Minor Issue
562,562,2023-08-04,89.49,Rejected
563,563,2023-01-18,88.46,Minor Issue
564,564,2023-07-13,79.94,Rejected
565,565,2024-03-02,87.1,Rejected
566,566,2024-09-15,75.84,Minor Issue
567,567,2023-11-19,95.94,Rejected
568,568,2024-09-25,97.18,Minor Issue
569,569,2023-12-13,71.46,OK
570,570,2024-10-15,91.54,Rejected
571,571,2024-12-14,96.26,OK
572,572,2023-05-15,81.2,Rejected
573,573,2024-03-28,81.22,Minor Issue
574,574,2024-08-20,94.55,Rejected
575,575,2024-10-15,81.18,Rejected
576,576,2023-01-11,81.56,Rejected
577,577,2024-03-30,93.13,OK
578,578,2023-08-11,81.49,Rejected
579,579,2024-02-29,70.93,OK
580,580,2023-09-23,80.41,Rejected
581,581,2024-01-03,72.29,Rejected
582,582,2024-10-18,79.28,OK
583,583,2024-02-10,94.95,Minor Issue
584,584,2024-06-26,74.22,Rejected
585,585,2023-10-17,71.34,Minor Issue
586,586,2023-12-21,78.7,OK
587,587,2024-11-07,90.36,Minor Issue
588,588,2023-04-13,84.56,Rejected
589,589,2023-10-06,80.76,OK
590,590,2023-07-14,95.18,Minor Issue
591,591,2024-03-29,83.08,Rejected
592,592,2024-06-08,78.92,Rejected
593,593,2024-12-12,81.62,Minor Issue
594,594,2024-01-14,72.38,Minor Issue
595,595,2024-08-21,97.34,Rejected
596,596,2024-06-25,91.09,OK
597,597,2024-11-17,97.26,Minor Issue
598,598,2023-11-17,90.72,Rejected
599,599,2023-04-23,73.28,Minor Issue
600,600,2024-02-11,95.01,OK
601,601,2023-11-26,82.35,Minor Issue
602,602,2023-12-18,70.08,Minor Issue
603,603,2023-12-24,78.41,OK
604,604,2023-08-02,94.57,OK
605,605,2024-09-20,94.6,Rejected
606,606,2024-07-07,80.6,Rejected
607,607,2024-06-25,88.67,Rejected
608,608,2023-08-29,86.87,Minor Issue
609,609,2024-07-28,89.21,Minor Issue
610,610,2024-08-18,78.89,Rejected
611,611,2024-08-22,91.71,Minor Issue
612,612,2023-09-28,74.61,Minor Issue
613,613,2023-12-18,76.42,Rejected
614,614,2023-08-15,70.35,Rejected
615,615,2024-08-10,85.65,OK
616,616,2023-04-08,72.34,Rejected
617,617,2023-03-12,84.2,OK
618,618,2023-11-19,79.52,Rejected
619,619,2024-07-05,71.73,Minor Issue
620,620,2024-09-30,91.84,Rejected
621,621,2024-10-25,72.73,Rejected
622,622,2023-11-14,87.87,Minor Issue
623,623,2023-03-03,95.32,Rejected
624,624,2023-07-05,80.64,OK
625,625,2023-01-20,93.71,OK
626,626,2023-08-17,97.16,OK
627,627,2023-05-21,73.35,Rejected
628,628,2023-04-21,91.76,OK
629,629,2024-07-09,93.68,Minor Issue
630,630,2023-12-28,79.22,Rejected
631,631,2023-12-21,70.69,Minor Issue
632,632,2023-03-07,73.76,Minor Issue
633,633,2024-07-09,77.94,Rejected
634,634,2023-04-29,82.62,Minor Issue
635,635,2023-08-03,92.08,Minor Issue
636,636,2024-02-09,74.34,OK
637,637,2024-08-09,91.69,OK
638,638,2024-01-02,90.94,Minor Issue
639,639,2023-06-25,90.36,OK
640,640,2024-01-18,86.1,Rejected
641,641,2023-05-30,93.11,Rejected
642,642,2023-10-07,82.37,OK
643,643,2023-01-31,97.44,Rejected
644,644,2023-12-11,76.85,Rejected
645,645,2024-12-05,72.21,Rejected
646,646,2023-01-31,72.61,Minor Issue
647,647,2023-06-09,91.22,OK
648,648,2024-11-22,96.7,Minor Issue
649,649,2024-10-14,90.69,Rejected
650,650,2023-03-04,85.2,Minor Issue
651,651,2024-11-22,90.23,OK
652,652,2023-02-21,90.29,OK
653,653,2024-07-22,90.44,OK
654,654,2023-12-02,84.01,Minor Issue
655,655,2024-01-11,83.5,OK
656,656,2023-04-28,90.36,Rejected
657,657,2024-12-07,76.49,Rejected
658,658,2024-06-27,91.85,OK
659,659,2023-06-04,79.34,Minor Issue
660,660,2023-12-05,84.83,Rejected
661,661,2024-06-05,70.98,Rejected
662,662,2024-03-29,79.24,OK
663,663,2024-08-23,91.39,OK
664,664,2023-03-13,80.67,Rejected
665,665,2024-06-21,79.51,Minor Issue
666,666,2024-11-30,80.46,Minor Issue
667,667,2024-01-27,78.01,Minor Issue
668,668,2024-08-17,75.36,Minor Issue
669,669,2023-03-23,89.04,OK
670,670,2024-01-05,79.02,OK
671,671,2024-10-01,96.42,Rejected
672,672,2023-12-10,73.24,Minor Issue
673,673,2024-05-13,74.6,Rejected
674,674,2023-02-12,80.84,Rejected
675,675,2023-11-14,93.83,Minor Issue
676,676,2023-06-26,94.56,Minor Issue
677,677,2023-02-10,81.4,OK
678,678,2023-09-14,85.82,Rejected
679,679,2023-05-16,81.47,OK
680,680,2024-11-14,71.15,Minor Issue
681,681,2024-11-20,77.9,Rejected
682,682,2024-03-02,72.76,Rejected
683,683,2024-12-17,72.65,Rejected
684,684,2024-01-21,77.83,OK
685,685,2024-01-30,76.03,OK
686,686,2024-01-11,92.11,OK
687,687,2023-06-18,85.58,OK
688,688,2024-02-21,80.67,OK
689,689,2023-01-06,74.76,OK
690,690,2024-05-21,96.84,Rejected
691,691,2023-03-23,72.71,OK
692,692,2024-05-05,80.98,Rejected
693,693,2023-09-04,83.22,Minor Issue
694,694,2024-06-24,82.41,Rejected
695,695,2023-01-08,71.69,OK
696,696,2023-06-17,92.76,Rejected
697,697,2023-08-29,86.37,Minor Issue
698,698,2024-01-29,87.6,Minor Issue
699,699,2024-07-30,73.51,Rejected
700,700,2024-07-12,75.99,Rejected
701,701,2023-07-11,82.11,OK
