po_id,supplier_id,order_date,expected_delivery,total_amount,status
59,19,2023-02-11,2023-02-19,135174.55,Delayed
60,17,2024-02-28,2024-03-10,194762.52,Completed
61,11,2023-12-24,2024-01-06,140806.92,Pending
62,15,2023-04-28,2023-05-08,101255.25,Completed
63,10,2023-08-18,2023-08-25,112577.98,Pending
64,6,2023-11-07,2023-11-20,131451.92,Delayed
65,17,2023-01-01,2023-01-06,120550.19,Pending
66,20,2023-07-22,2023-08-05,159918.77,Pending
67,6,2024-12-06,2024-12-16,76145.15,Completed
68,20,2024-09-07,2024-09-17,183720.47,Pending
69,16,2023-04-07,2023-04-18,173875.5,Pending
70,16,2023-01-22,2023-01-29,147153.74,Completed
71,12,2023-12-25,2024-01-07,58236.24,Pending
72,5,2024-07-20,2024-08-03,116115.68,Pending
73,20,2024-03-23,2024-04-03,198204.54,Delayed
74,9,2024-04-11,2024-04-24,66094.47,Pending
75,3,2023-07-11,2023-07-21,141984.74,Delayed
76,2,2023-04-11,2023-04-26,121879.6,Delayed
77,16,2023-07-28,2023-08-12,64180.13,Delayed
78,12,2023-03-07,2023-03-19,120978.88,Completed
79,13,2023-10-15,2023-10-23,84872.17,Completed
80,7,2024-01-07,2024-01-19,111128.6,Pending
81,5,2023-12-15,2023-12-26,54390.88,Pending
82,18,2024-06-29,2024-07-11,189678.2,Delayed
83,14,2023-10-01,2023-10-16,80402.34,Completed
84,10,2024-11-20,2024-11-25,58910.44,Completed
85,7,2024-05-27,2024-06-10,130606.1,Completed
86,14,2024-06-22,2024-06-28,67703.72,Pending
87,8,2023-05-01,2023-05-08,120319.75,Completed
88,15,2023-09-06,2023-09-11,98598.67,Delayed
89,16,2023-07-13,2023-07-22,183900.16,Pending
90,7,2024-02-12,2024-02-26,75969.03,Pending
91,5,2023-08-02,2023-08-13,75308.44,Pending
92,4,2024-08-04,2024-08-15,140980.25,Delayed
93,1,2023-06-08,2023-06-19,113201.87,Completed
94,3,2023-12-08,2023-12-14,130765.56,Completed
95,11,2023-05-19,2023-05-29,176645.94,Pending
96,3,2023-11-19,2023-12-04,77211.97,Delayed
97,11,2023-04-14,2023-04-23,62874.13,Completed
98,19,2024-12-10,2024-12-16,99966.97,Delayed
99,7,2023-10-21,2023-11-04,156716.67,Delayed
100,6,2024-04-09,2024-04-24,179520.32,Pending
101,20,2023-12-06,2023-12-14,112910.43,Completed
102,20,2023-05-10,2023-05-18,173571.58,Delayed
103,13,2024-10-02,2024-10-14,158978.98,Delayed
104,8,2023-12-30,2024-01-08,63300.69,Completed
105,3,2023-10-17,2023-10-29,184298.56,Completed
106,8,2024-09-13,2024-09-20,62414.21,Pending
107,8,2024-01-21,2024-02-01,68613.75,Delayed
108,1,2023-11-22,2023-11-28,145273.44,Delayed
109,8,2023-10-26,2023-11-07,164971.86,Completed
110,5,2024-01-23,2024-02-02,137185.67,Completed
111,2,2023-07-13,2023-07-25,113676.18,Delayed
112,1,2023-05-30,2023-06-11,97919.01,Pending
113,7,2023-02-04,2023-02-11,110467.91,Pending
114,10,2024-07-21,2024-07-29,166451.74,Delayed
115,17,2024-04-09,2024-04-18,151640.37,Pending
116,19,2024-04-13,2024-04-20,167836.95,Pending
117,10,2023-11-03,2023-11-09,64564.56,Pending
118,10,2024-08-11,2024-08-16,151653.44,Pending
119,11,2023-04-06,2023-04-19,75342.58,Pending
120,19,2023-08-13,2023-08-22,156578.09,Delayed
121,17,2024-10-09,2024-10-19,55398.84,Pending
122,6,2024-06-01,2024-06-13,196727.59,Completed
123,10,2024-04-05,2024-04-18,59678.66,Completed
124,15,2024-04-29,2024-05-13,119630.92,Completed
125,3,2023-12-30,2024-01-08,148359.07,Completed
126,13,2023-11-21,2023-12-02,67221.69,Completed
127,15,2024-11-25,2024-12-04,190298.83,Delayed
128,16,2023-10-13,2023-10-23,157662.86,Delayed
129,9,2024-07-10,2024-07-19,62166.49,Pending
130,15,2023-08-18,2023-08-31,156229.08,Pending
131,4,2023-11-01,2023-11-12,197045.86,Completed
132,4,2024-03-21,2024-04-01,87104.26,Completed
133,6,2023-08-14,2023-08-20,149165.45,Delayed
134,6,2023-06-24,2023-06-29,87632.15,Delayed
135,13,2023-02-28,2023-03-05,81255.02,Pending
136,8,2024-10-02,2024-10-15,76392.77,Delayed
137,2,2023-09-09,2023-09-22,193430.85,Pending
138,14,2024-01-12,2024-01-20,103719.34,Delayed
139,7,2024-02-01,2024-02-10,136666.97,Delayed
140,7,2024-04-02,2024-04-10,67420.99,Delayed
141,11,2023-11-18,2023-11-30,122541.43,Delayed
142,5,2023-06-19,2023-07-04,87046.0,Delayed
143,2,2023-12-23,2024-01-03,199490.01,Delayed
144,16,2024-07-27,2024-08-10,81674.65,Completed
145,11,2023-07-24,2023-07-29,188928.01,Delayed
146,1,2023-05-09,2023-05-21,78666.25,Pending
147,8,2023-08-05,2023-08-10,187427.42,Pending
148,15,2023-03-12,2023-03-23,149843.6,Pending
149,17,2024-05-07,2024-05-15,176735.28,Delayed
150,16,2023-07-02,2023-07-17,125109.24,Delayed
151,11,2023-07-05,2023-07-11,57225.09,Completed
152,15,2023-02-25,2023-03-10,190177.17,Pending
153,7,2024-03-22,2024-04-04,163948.19,Delayed
154,11,2023-03-20,2023-03-27,193356.95,Completed
155,12,2023-12-29,2024-01-06,192101.72,Delayed
156,20,2023-12-16,2023-12-24,85192.0,Completed
157,2,2024-01-25,2024-02-03,177704.07,Completed
158,6,2023-01-18,2023-01-30,67926.8,Completed
159,15,2024-11-27,2024-12-07,89960.67,Completed
160,5,2024-06-04,2024-06-17,164064.55,Pending
161,3,2023-07-25,2023-08-04,50543.05,Completed
162,2,2023-04-13,2023-04-18,187034.48,Delayed
163,7,2024-11-08,2024-11-22,94244.64,Delayed
164,13,2024-04-27,2024-05-07,129420.8,Delayed
165,4,2023-09-29,2023-10-11,118157.03,Completed
166,9,2024-11-16,2024-11-29,123543.23,Completed
167,1,2024-09-01,2024-09-15,61095.15,Completed
168,16,2024-03-10,2024-03-23,176131.89,Pending
169,5,2023-04-30,2023-05-09,150978.36,Delayed
170,7,2023-06-04,2023-06-09,158007.92,Pending
171,13,2023-08-14,2023-08-25,123148.9,Delayed
172,13,2023-12-05,2023-12-16,83206.72,Pending
173,14,2023-12-14,2023-12-24,118065.67,Completed
174,4,2023-04-25,2023-05-09,51463.99,Pending
175,5,2023-01-10,2023-01-23,181332.48,Delayed
176,19,2023-10-16,2023-10-31,142708.96,Pending
177,18,2024-04-28,2024-05-09,135599.88,Pending
178,6,2023-11-14,2023-11-24,95444.32,Delayed
179,1,2023-10-11,2023-10-21,199180.62,Pending
180,9,2024-01-28,2024-02-08,66322.65,Delayed
181,11,2023-08-17,2023-08-31,186326.79,Pending
182,8,2023-05-21,2023-06-04,135857.52,Pending
183,14,2024-07-20,2024-07-25,50383.74,Delayed
184,7,2024-01-30,2024-02-09,133198.42,Completed
185,13,2024-06-19,2024-07-03,80663.52,Delayed
186,17,2023-08-17,2023-08-25,83363.77,Pending
187,17,2023-07-29,2023-08-03,58555.04,Delayed
188,6,2023-09-27,2023-10-09,97682.65,Delayed
189,12,2023-06-22,2023-07-05,60554.89,Completed
190,5,2023-08-28,2023-09-05,178097.73,Pending
191,17,2023-06-17,2023-06-23,99089.68,Delayed
192,10,2024-04-16,2024-04-26,180289.37,Completed
193,1,2024-01-24,2024-02-04,189877.99,Delayed
194,18,2023-09-21,2023-10-02,165899.98,Completed
195,18,2023-02-23,2023-03-01,83159.34,Delayed
196,18,2024-01-11,2024-01-19,188919.8,Completed
197,6,2023-05-09,2023-05-21,180160.02,Delayed
198,13,2023-01-27,2023-02-04,91654.55,Completed
199,5,2024-03-27,2024-04-11,121277.49,Pending
200,8,2023-04-21,2023-04-30,198782.16,Delayed
201,15,2023-09-28,2023-10-05,93984.72,Delayed
202,6,2024-11-12,2024-11-27,142274.54,Delayed
203,9,2024-09-01,2024-09-16,164336.35,Pending
204,6,2023-09-02,2023-09-08,58752.13,Delayed
205,4,2023-11-17,2023-11-23,125893.48,Delayed
206,12,2024-01-28,2024-02-07,107491.05,Completed
207,5,2024-02-22,2024-02-29,186825.06,Delayed
208,4,2024-06-19,2024-07-04,76504.17,Completed
209,9,2024-11-24,2024-12-06,84209.13,Completed
210,4,2023-09-11,2023-09-25,109554.02,Delayed
211,13,2023-04-29,2023-05-04,120554.05,Completed
212,7,2023-06-26,2023-07-01,114537.92,Delayed
213,18,2023-04-27,2023-05-11,162817.44,Delayed
214,11,2024-10-11,2024-10-20,56222.56,Delayed
215,10,2023-03-03,2023-03-14,103159.39,Pending
216,13,2024-02-14,2024-02-22,58153.16,Pending
217,11,2024-11-19,2024-11-28,118040.39,Completed
218,4,2023-11-24,2023-12-02,100092.45,Pending
219,19,2023-02-03,2023-02-18,110040.53,Delayed
220,18,2023-12-26,2024-01-02,121137.43,Delayed
221,3,2023-05-14,2023-05-20,144435.91,Delayed
222,15,2024-07-14,2024-07-23,103293.77,Delayed
223,2,2023-02-24,2023-03-02,112158.03,Completed
224,14,2024-09-17,2024-09-26,91759.75,Pending
225,16,2023-10-05,2023-10-20,196535.14,Delayed
226,18,2024-04-10,2024-04-19,149879.15,Pending
227,20,2024-10-13,2024-10-24,122489.57,Pending
228,14,2024-09-25,2024-10-01,52186.16,Delayed
229,12,2023-04-06,2023-04-17,115823.87,Pending
230,12,2023-12-17,2023-12-30,71398.54,Pending
231,12,2024-03-24,2024-04-07,69351.64,Pending
232,14,2023-06-13,2023-06-25,58730.03,Pending
233,13,2024-05-18,2024-05-30,184013.41,Delayed
234,2,2024-06-05,2024-06-19,59396.88,Completed
235,17,2023-12-02,2023-12-17,163121.94,Pending
236,12,2023-02-09,2023-02-15,149759.68,Pending
237,7,2023-03-26,2023-04-04,170752.44,Pending
238,6,2024-10-08,2024-10-23,110379.89,Pending
239,1,2024-08-11,2024-08-20,57802.9,Delayed
240,5,2024-01-12,2024-01-20,183990.99,Pending
241,6,2023-11-24,2023-12-01,142092.34,Delayed
242,17,2024-05-20,2024-05-31,182735.79,Delayed
243,12,2023-12-26,2024-01-01,54591.06,Delayed
244,13,2024-12-05,2024-12-18,55333.21,Pending
245,11,2023-03-22,2023-03-28,155059.69,Completed
246,2,2024-07-30,2024-08-14,176800.14,Pending
247,19,2024-06-10,2024-06-18,182739.9,Delayed
248,20,2024-01-16,2024-01-26,176604.04,Completed
249,6,2024-04-12,2024-04-27,170523.86,Pending
250,7,2024-03-24,2024-04-02,112499.17,Delayed
251,17,2023-07-16,2023-07-24,175093.09,Pending
252,5,2024-03-08,2024-03-20,193953.91,Pending
253,13,2023-07-06,2023-07-14,180620.73,Pending
254,3,2023-06-27,2023-07-07,160489.0,Delayed
255,10,2024-08-29,2024-09-07,167661.75,Pending
256,14,2023-07-08,2023-07-20,93353.51,Completed
257,3,2023-11-23,2023-12-07,106473.69,Completed
258,15,2023-07-02,2023-07-08,111744.37,Pending
259,6,2023-08-20,2023-09-03,156467.54,Delayed
260,8,2023-01-24,2023-02-06,151780.28,Pending
261,17,2024-08-28,2024-09-09,86095.54,Delayed
262,14,2024-07-18,2024-08-01,183181.14,Completed
263,11,2024-07-20,2024-07-25,105659.99,Pending
264,6,2023-12-31,2024-01-14,71286.64,Completed
265,18,2024-01-11,2024-01-18,196358.31,Pending
266,11,2023-07-17,2023-08-01,109078.17,Pending
267,2,2023-05-09,2023-05-14,122203.09,Delayed
268,6,2023-04-18,2023-05-03,191067.95,Pending
269,18,2023-05-17,2023-05-31,131208.54,Completed
270,16,2024-06-29,2024-07-11,198221.8,Delayed
271,10,2023-12-16,2023-12-22,120374.38,Delayed
272,10,2024-01-31,2024-02-13,130346.35,Completed
273,1,2024-10-13,2024-10-23,136280.93,Delayed
274,19,2023-06-21,2023-07-06,135074.38,Pending
275,13,2024-12-08,2024-12-16,141630.23,Delayed
276,11,2023-05-19,2023-05-26,190223.31,Pending
277,18,2024-01-23,2024-01-30,110633.03,Delayed
278,4,2023-11-26,2023-12-09,78666.12,Completed
279,2,2024-10-18,2024-10-27,108609.14,Delayed
280,2,2024-01-28,2024-02-06,99242.7,Completed
281,18,2024-06-13,2024-06-20,160924.62,Completed
282,18,2024-07-30,2024-08-14,61032.62,Delayed
283,13,2023-03-31,2023-04-11,146756.19,Completed
284,15,2023-10-14,2023-10-20,51128.03,Completed
285,19,2024-10-15,2024-10-26,145254.3,Delayed
286,10,2024-03-15,2024-03-23,191808.75,Completed
287,6,2023-12-13,2023-12-25,193325.98,Completed
288,19,2024-11-06,2024-11-21,174989.06,Completed
289,17,2024-09-14,2024-09-21,101975.66,Pending
290,7,2024-04-16,2024-04-21,96188.63,Pending
291,13,2023-03-21,2023-04-05,197838.16,Pending
292,4,2024-05-16,2024-05-28,54006.52,Completed
293,7,2023-12-12,2023-12-23,97323.2,Completed
294,19,2023-05-13,2023-05-28,95578.91,Pending
295,13,2024-01-20,2024-01-28,77747.35,Pending
296,17,2024-01-15,2024-01-27,131518.26,Completed
297,6,2024-10-07,2024-10-20,54836.92,Delayed
298,18,2023-02-13,2023-02-18,65673.63,Pending
299,10,2024-09-19,2024-10-02,51038.99,Completed
300,11,2023-02-06,2023-02-20,180578.81,Completed
301,9,2024-07-29,2024-08-04,170616.4,Completed
302,13,2024-04-06,2024-04-14,54351.02,Completed
303,18,2023-12-16,2023-12-29,163504.57,Pending
304,18,2024-02-11,2024-02-24,93198.33,Completed
305,8,2023-04-12,2023-04-23,160707.3,Completed
306,17,2024-07-01,2024-07-08,148719.56,Pending
307,17,2023-07-24,2023-07-29,62796.49,Delayed
308,14,2023-12-01,2023-12-09,141429.97,Completed
309,6,2023-05-19,2023-05-26,129404.23,Completed
310,2,2023-05-11,2023-05-22,132028.65,Completed
311,3,2023-09-20,2023-09-30,143698.66,Completed
312,5,2023-09-22,2023-10-05,55663.14,Completed
313,11,2023-05-15,2023-05-24,116482.99,Delayed
314,7,2023-08-16,2023-08-27,72431.27,Completed
315,1,2024-07-21,2024-08-03,91183.61,Completed
316,1,2023-03-21,2023-03-29,171687.83,Delayed
317,10,2023-08-12,2023-08-24,59848.82,Pending
318,18,2024-03-26,2024-04-06,130566.62,Pending
319,13,2024-07-29,2024-08-12,191554.41,Completed
320,2,2023-05-09,2023-05-17,100125.39,Delayed
321,4,2023-12-27,2024-01-03,114401.47,Pending
322,7,2024-04-11,2024-04-18,117356.97,Completed
323,11,2024-04-19,2024-04-25,69422.98,Completed
324,15,2023-01-16,2023-01-26,82367.48,Delayed
325,18,2023-08-16,2023-08-22,190604.17,Pending
326,5,2023-03-13,2023-03-27,63404.7,Delayed
327,1,2023-11-02,2023-11-16,149170.79,Pending
328,5,2024-01-09,2024-01-20,93476.27,Pending
329,8,2024-09-02,2024-09-11,179705.24,Delayed
330,8,2024-01-28,2024-02-11,115885.33,Completed
331,5,2023-10-08,2023-10-20,196848.87,Delayed
332,10,2024-03-20,2024-04-04,124500.4,Pending
333,5,2024-09-05,2024-09-10,174186.9,Pending
334,19,2024-03-11,2024-03-22,198562.45,Delayed
335,1,2024-09-04,2024-09-16,165389.07,Delayed
336,11,2023-10-18,2023-10-30,54714.31,Pending
337,10,2024-10-24,2024-11-05,133009.1,Completed
338,2,2024-03-18,2024-04-02,134725.65,Pending
339,6,2024-05-30,2024-06-05,102111.95,Pending
340,1,2024-10-16,2024-10-27,106968.75,Pending
341,8,2023-09-26,2023-10-02,123903.06,Completed
342,19,2023-07-09,2023-07-22,192363.06,Pending
343,18,2024-01-04,2024-01-19,100643.92,Completed
344,17,2023-08-23,2023-09-07,187313.83,Pending
345,7,2023-12-06,2023-12-14,186484.91,Pending
346,2,2023-06-03,2023-06-09,146565.56,Delayed
347,1,2023-02-05,2023-02-19,182105.01,Completed
348,18,2023-02-28,2023-03-10,146689.64,Delayed
349,2,2023-10-12,2023-10-17,82217.72,Delayed
350,6,2023-09-29,2023-10-11,80537.26,Delayed
351,20,2024-06-16,2024-06-25,190956.77,Pending
352,9,2023-12-06,2023-12-18,147906.22,Delayed
353,7,2024-07-08,2024-07-17,138103.49,Delayed
354,4,2023-09-16,2023-09-28,131568.75,Completed
355,3,2024-06-11,2024-06-19,178586.67,Completed
356,11,2024-09-18,2024-09-27,77951.87,Completed
357,19,2024-07-01,2024-07-12,161761.77,Completed
358,12,2023-05-13,2023-05-25,107454.61,Pending
359,11,2024-09-24,2024-10-08,180313.08,Pending
360,15,2024-04-20,2024-05-05,58940.55,Delayed
361,14,2024-12-16,2024-12-26,186535.85,Pending
362,16,2023-01-18,2023-02-02,96708.09,Delayed
363,8,2024-05-28,2024-06-07,70658.69,Completed
364,6,2024-01-24,2024-02-07,190893.66,Delayed
365,13,2024-05-09,2024-05-21,69069.16,Delayed
366,2,2023-01-20,2023-02-04,96132.86,Pending
367,15,2024-05-10,2024-05-19,82072.87,Delayed
368,1,2023-10-20,2023-11-03,124235.96,Pending
369,13,2024-02-08,2024-02-20,176366.68,Pending
370,14,2023-07-27,2023-08-11,80769.25,Delayed
371,19,2024-08-06,2024-08-20,130865.27,Completed
372,20,2024-10-22,2024-11-02,80125.2,Delayed
373,18,2024-05-10,2024-05-17,124590.39,Pending
374,10,2024-08-09,2024-08-16,89352.59,Pending
375,7,2024-12-17,2024-12-22,81852.18,Pending
376,12,2024-12-17,2025-01-01,66660.54,Completed
377,14,2023-05-14,2023-05-27,196165.94,Completed
378,2,2023-08-08,2023-08-19,124656.96,Pending
379,2,2023-09-30,2023-10-15,124779.32,Pending
380,4,2024-03-04,2024-03-11,87020.03,Pending
381,2,2023-02-17,2023-02-27,112710.27,Delayed
382,14,2023-02-27,2023-03-06,169454.14,Delayed
383,16,2024-03-07,2024-03-13,94216.3,Completed
384,18,2023-09-24,2023-10-06,185723.04,Completed
385,2,2023-03-06,2023-03-20,138875.16,Delayed
386,20,2024-05-29,2024-06-12,54397.41,Pending
387,2,2024-12-03,2024-12-11,186359.37,Delayed
388,15,2024-07-11,2024-07-25,120137.14,Completed
389,12,2024-11-10,2024-11-20,149985.06,Completed
390,19,2023-06-02,2023-06-11,196890.72,Completed
391,7,2023-06-04,2023-06-15,159421.27,Completed
392,3,2024-08-07,2024-08-18,123527.85,Completed
393,4,2023-06-16,2023-06-29,126548.96,Completed
394,18,2024-09-08,2024-09-14,142085.87,Pending
395,12,2023-05-23,2023-05-28,194342.83,Delayed
396,9,2024-11-05,2024-11-15,52755.04,Delayed
397,8,2024-05-03,2024-05-15,85245.16,Pending
398,10,2024-09-24,2024-10-08,175762.27,Completed
399,18,2024-02-03,2024-02-08,82920.17,Delayed
400,5,2024-02-13,2024-02-28,71961.44,Delayed
401,1,2023-07-25,2023-08-03,153387.05,Completed
402,3,2023-12-25,2024-01-01,119145.97,Pending
403,1,2024-09-16,2024-10-01,188470.14,Completed
404,13,2023-10-23,2023-11-01,85259.79,Delayed
405,10,2024-03-17,2024-03-24,133730.07,Delayed
406,20,2024-10-21,2024-11-05,88722.14,Completed
407,17,2024-08-14,2024-08-20,65185.08,Delayed
408,17,2024-10-16,2024-10-22,102116.92,Pending
409,11,2024-12-09,2024-12-17,164448.0,Pending
410,18,2024-09-09,2024-09-20,179258.68,Delayed
411,8,2024-06-26,2024-07-01,195307.74,Completed
412,10,2024-08-21,2024-09-03,143447.71,Delayed
413,3,2023-06-19,2023-06-29,80597.49,Completed
414,3,2024-05-29,2024-06-12,183638.94,Delayed
415,7,2023-01-10,2023-01-18,92085.72,Delayed
416,4,2023-11-05,2023-11-14,69736.77,Pending
417,6,2023-12-21,2024-01-01,156671.46,Delayed
418,8,2024-07-24,2024-08-01,102063.64,Pending
419,17,2023-04-27,2023-05-10,125763.23,Pending
420,2,2024-05-11,2024-05-26,103291.91,Delayed
421,7,2023-11-01,2023-11-13,59610.7,Completed
422,9,2023-01-11,2023-01-26,153457.02,Delayed
423,14,2023-02-01,2023-02-06,158535.61,Pending
424,9,2023-11-06,2023-11-19,157876.46,Delayed
425,11,2024-03-10,2024-03-20,134573.45,Pending
426,11,2024-04-21,2024-04-29,108140.86,Delayed
427,7,2023-03-23,2023-03-30,163273.98,Delayed
428,9,2023-01-06,2023-01-13,63157.06,Delayed
429,7,2023-10-17,2023-10-31,169528.68,Completed
430,8,2024-12-04,2024-12-12,139283.01,Pending
431,5,2024-07-27,2024-08-08,187025.48,Completed
432,7,2023-01-04,2023-01-19,136417.94,Delayed
433,6,2023-01-05,2023-01-19,170369.52,Pending
434,8,2023-04-16,2023-04-29,128379.59,Delayed
435,5,2023-07-20,2023-07-27,147703.59,Pending
436,7,2023-03-28,2023-04-05,84502.36,Pending
437,9,2024-05-19,2024-05-24,76257.32,Completed
438,1,2024-12-04,2024-12-15,110960.2,Delayed
439,4,2023-07-17,2023-07-22,132537.6,Delayed
440,19,2023-02-05,2023-02-14,133098.19,Completed
441,3,2023-08-10,2023-08-24,70022.74,Delayed
442,15,2024-04-23,2024-04-28,125545.8,Pending
443,20,2024-01-27,2024-02-10,106572.89,Delayed
444,8,2024-06-10,2024-06-21,197945.67,Completed
445,14,2023-08-02,2023-08-11,149245.09,Delayed
446,13,2023-05-15,2023-05-29,112820.83,Completed
447,5,2023-02-18,2023-03-03,100427.39,Pending
448,2,2023-12-25,2024-01-06,115510.97,Pending
449,11,2024-11-24,2024-12-02,129876.48,Completed
450,10,2024-05-19,2024-05-29,89428.71,Completed
451,14,2023-11-16,2023-11-25,120580.91,Pending
452,3,2024-05-10,2024-05-18,196922.93,Pending
453,13,2023-11-30,2023-12-12,55542.34,Pending
454,14,2023-10-17,2023-10-28,58482.18,Completed
455,13,2023-01-24,2023-02-06,117427.3,Completed
456,17,2023-09-19,2023-09-26,176518.75,Completed
457,11,2023-10-25,2023-11-07,133027.77,Delayed
458,3,2024-04-21,2024-05-06,120112.39,Completed
459,12,2023-08-01,2023-08-11,99401.4,Completed
460,6,2024-05-07,2024-05-12,169641.24,Pending
461,10,2023-10-22,2023-11-03,196252.37,Pending
462,4,2024-12-06,2024-12-15,104488.33,Completed
463,16,2023-04-05,2023-04-14,169755.18,Completed
464,12,2024-09-09,2024-09-17,129444.93,Pending
465,20,2024-09-16,2024-09-24,194217.82,Completed
466,20,2024-11-23,2024-12-01,132232.47,Pending
467,9,2023-06-03,2023-06-11,195969.17,Completed
468,11,2023-08-13,2023-08-23,113740.54,Delayed
469,11,2024-10-09,2024-10-22,107756.31,Pending
470,5,2023-04-09,2023-04-16,169377.13,Delayed
471,17,2024-03-19,2024-04-03,154970.62,Delayed
472,12,2024-03-28,2024-04-12,195706.57,Completed
473,12,2023-12-30,2024-01-11,151336.76,Completed
474,20,2023-04-04,2023-04-15,60088.03,Completed
475,9,2023-11-23,2023-12-01,184292.86,Pending
476,4,2024-02-14,2024-02-29,114327.0,Pending
477,2,2024-10-28,2024-11-08,188916.82,Completed
478,10,2024-09-19,2024-09-29,105030.23,Delayed
479,20,2024-09-08,2024-09-14,178682.19,Delayed
480,2,2023-06-27,2023-07-07,179221.59,Delayed
481,12,2024-04-05,2024-04-13,179189.58,Pending
482,14,2024-06-10,2024-06-24,87287.92,Completed
483,6,2024-04-06,2024-04-21,169625.09,Delayed
484,9,2024-06-25,2024-07-02,65394.62,Pending
485,11,2024-05-20,2024-05-31,173192.29,Delayed
486,5,2024-08-09,2024-08-19,89626.35,Pending
487,7,2024-05-23,2024-06-02,183830.95,Delayed
488,10,2024-01-15,2024-01-29,69468.47,Delayed
489,20,2023-03-31,2023-04-15,180608.1,Pending
490,11,2024-10-26,2024-11-08,80390.5,Completed
491,17,2023-10-24,2023-10-29,141185.14,Pending
492,14,2023-07-29,2023-08-04,54358.5,Completed
493,8,2023-03-31,2023-04-14,78277.21,Pending
494,5,2023-10-03,2023-10-17,57039.97,Delayed
495,4,2024-04-26,2024-05-07,88906.18,Pending
496,17,2024-01-14,2024-01-23,158164.42,Pending
497,16,2024-08-10,2024-08-22,52966.14,Delayed
498,7,2023-09-16,2023-10-01,76120.02,Pending
499,11,2024-02-22,2024-03-02,115127.71,Pending
500,4,2023-05-11,2023-05-17,135535.85,Completed
501,17,2023-05-20,2023-06-01,168162.25,Completed
502,4,2023-05-23,2023-06-06,161628.89,Pending
503,17,2023-12-11,2023-12-24,162686.49,Completed
504,6,2023-10-24,2023-11-02,130048.4,Completed
505,19,2024-10-21,2024-11-04,132569.47,Delayed
506,19,2024-08-20,2024-08-28,139221.26,Delayed
507,15,2024-01-20,2024-01-27,142770.97,Delayed
508,1,2024-01-18,2024-01-23,57054.48,Delayed
509,13,2024-05-01,2024-05-12,161268.99,Pending
