invoice_id,po_id,invoice_date,invoice_amount,payment_status
192,192,2024-04-21,177524.28734131294,Paid
193,193,2024-01-29,185403.12886440766,Unpaid
194,194,2023-09-26,165899.98,Unpaid
195,195,2023-02-28,83159.34,Unpaid
196,196,2024-01-16,188919.8,Paid
197,197,2023-05-14,180160.02,Paid
198,198,2023-02-01,91654.55,Unpaid
199,199,2024-04-01,121277.49,Paid
200,200,2023-04-26,198782.16,Unpaid
201,201,2023-10-03,93984.72,Unpaid
202,202,2024-11-17,144150.66730649752,Unpaid
203,203,2024-09-06,164336.35,Paid
204,204,2023-09-07,54708.1513281347,Unpaid
205,205,2023-11-22,125893.48,Paid
206,206,2024-02-02,107491.05,Paid
207,207,2024-02-27,186825.06,Unpaid
208,208,2024-06-24,76504.17,Paid
209,209,2024-11-29,84209.13,Unpaid
210,210,2023-09-16,109047.15138310395,Paid
211,211,2023-05-04,120554.05,Unpaid
212,212,2023-07-01,116794.88291176363,Paid
213,213,2023-05-02,163458.42565366032,Unpaid
214,214,2024-10-16,56222.56,Paid
215,215,2023-03-08,103159.39,Paid
216,216,2024-02-19,58153.16,Paid
217,217,2024-11-24,118040.39,Unpaid
218,218,2023-11-29,100092.45,Paid
219,219,2023-02-08,110040.53,Paid
220,220,2023-12-31,121137.43,Paid
221,221,2023-05-19,144435.91,Paid
222,222,2024-07-19,103293.77,Unpaid
223,223,2023-03-01,112158.03,Unpaid
224,224,2024-09-22,91759.75,Paid
225,225,2023-10-10,196535.14,Paid
226,226,2024-04-15,149879.15,Paid
227,227,2024-10-18,122489.57,Unpaid
228,228,2024-09-30,52186.16,Unpaid
229,229,2023-04-11,115823.87,Unpaid
230,230,2023-12-22,71398.54,Unpaid
231,231,2024-03-29,69351.64,Paid
232,232,2023-06-18,58730.03,Paid
233,233,2024-05-23,186826.0851257307,Unpaid
234,234,2024-06-10,61526.39214285778,Unpaid
235,235,2023-12-07,163121.94,Paid
236,236,2023-02-14,149759.68,Unpaid
237,237,2023-03-31,170752.44,Paid
238,238,2024-10-13,115327.68545772239,Unpaid
239,239,2024-08-16,57802.9,Unpaid
240,240,2024-01-17,183990.99,Unpaid
241,241,2023-11-29,142092.34,Paid
242,242,2024-05-25,182735.79,Paid
243,243,2023-12-31,54591.06,Unpaid
244,244,2024-12-10,55333.21,Paid
245,245,2023-03-27,155059.69,Unpaid
246,246,2024-08-04,176800.14,Paid
247,247,2024-06-15,185885.8414902297,Paid
248,248,2024-01-21,173982.70029766124,Paid
249,249,2024-04-17,167928.61372727613,Paid
250,250,2024-03-29,112499.17,Paid
251,251,2023-07-21,175093.09,Unpaid
252,252,2024-03-13,193953.91,Paid
253,253,2023-07-11,180620.73,Unpaid
254,254,2023-07-02,160489.0,Unpaid
255,255,2024-09-03,164195.69581495886,Unpaid
256,256,2023-07-13,93353.51,Unpaid
257,257,2023-11-28,106473.69,Unpaid
258,258,2023-07-07,111744.37,Unpaid
259,259,2023-08-25,156467.54,Unpaid
260,260,2023-01-29,151780.28,Unpaid
261,261,2024-09-02,86095.54,Paid
262,262,2024-07-23,186332.5239757597,Unpaid
263,263,2024-07-25,105659.99,Unpaid
264,264,2024-01-05,71286.64,Paid
265,265,2024-01-16,196358.31,Paid
266,266,2023-07-22,109078.17,Unpaid
267,267,2023-05-14,122203.09,Unpaid
268,268,2023-04-23,191067.95,Paid
269,269,2023-05-22,132750.35069510053,Unpaid
270,270,2024-07-04,196479.97543702225,Unpaid
271,271,2023-12-21,121944.96177956596,Paid
272,272,2024-02-05,130346.35,Unpaid
273,273,2024-10-18,136280.93,Unpaid
274,274,2023-06-26,135074.38,Unpaid
275,275,2024-12-13,141630.23,Unpaid
276,276,2023-05-24,189358.071965395,Paid
277,277,2024-01-28,107348.13120449954,Paid
278,278,2023-12-01,78666.12,Unpaid
279,279,2024-10-23,108609.14,Unpaid
280,280,2024-02-02,99242.7,Unpaid
281,281,2024-06-18,161475.02910710638,Unpaid
282,282,2024-08-04,61032.62,Unpaid
283,283,2023-04-05,142688.86855564415,Unpaid
284,284,2023-10-19,51128.03,Unpaid
285,285,2024-10-20,145254.3,Unpaid
286,286,2024-03-20,191808.75,Paid
287,287,2023-12-18,193325.98,Paid
288,288,2024-11-11,172911.54418398463,Unpaid
289,289,2024-09-19,101975.66,Paid
290,290,2024-04-21,96188.63,Paid
291,291,2023-03-26,197838.16,Unpaid
292,292,2024-05-21,54006.52,Unpaid
293,293,2023-12-17,97323.2,Paid
294,294,2023-05-18,92970.87391522713,Unpaid
295,295,2024-01-25,77747.35,Unpaid
296,296,2024-01-20,131518.26,Paid
297,297,2024-10-12,57356.376699182816,Paid
298,298,2023-02-18,65673.63,Paid
299,299,2024-09-24,51038.99,Paid
300,300,2023-02-11,180578.81,Paid
301,301,2024-08-03,170616.4,Unpaid
302,302,2024-04-11,54351.02,Unpaid
303,303,2023-12-21,163504.57,Unpaid
304,304,2024-02-16,88939.17225481367,Paid
305,305,2023-04-17,160707.3,Paid
306,306,2024-07-06,148719.56,Paid
307,307,2023-07-29,64753.340780528175,Unpaid
308,308,2023-12-06,141429.97,Paid
309,309,2023-05-24,129404.23,Unpaid
310,310,2023-05-16,132028.65,Paid
311,311,2023-09-25,143698.66,Paid
312,312,2023-09-27,55663.14,Unpaid
313,313,2023-05-20,116482.99,Unpaid
314,314,2023-08-21,72431.27,Unpaid
315,315,2024-07-26,91183.61,Unpaid
316,316,2023-03-26,171687.83,Unpaid
317,317,2023-08-17,59848.82,Paid
318,318,2024-03-31,130566.62,Paid
319,319,2024-08-03,194149.3982862955,Paid
320,320,2023-05-14,101834.54818521981,Unpaid
321,321,2024-01-01,114401.47,Paid
322,322,2024-04-16,117318.75657270457,Paid
323,323,2024-04-24,69422.98,Paid
324,324,2023-01-21,82367.48,Unpaid
325,325,2023-08-21,190604.17,Paid
326,326,2023-03-18,63404.7,Unpaid
327,327,2023-11-07,149020.4066927104,Paid
328,328,2024-01-14,97302.32921407628,Unpaid
329,329,2024-09-07,179705.24,Unpaid
330,330,2024-02-02,115885.33,Unpaid
331,331,2023-10-13,196848.87,Unpaid
332,332,2024-03-25,124500.4,Paid
333,333,2024-09-10,173743.72034639388,Paid
334,334,2024-03-16,198562.45,Paid
335,335,2024-09-09,162773.55329383415,Paid
336,336,2023-10-23,54714.31,Unpaid
337,337,2024-10-29,133212.35961667175,Unpaid
338,338,2024-03-23,134725.65,Unpaid
339,339,2024-06-04,102111.95,Unpaid
340,340,2024-10-21,107910.40915334759,Paid
341,341,2023-10-01,123903.06,Unpaid
342,342,2023-07-14,192363.06,Unpaid
343,343,2024-01-09,100643.92,Paid
344,344,2023-08-28,187313.83,Unpaid
345,345,2023-12-11,186484.91,Paid
346,346,2023-06-08,146565.56,Unpaid
347,347,2023-02-10,184951.43695556658,Paid
348,348,2023-03-05,146689.64,Unpaid
349,349,2023-10-17,86744.34196574263,Unpaid
350,350,2023-10-04,80972.86842526791,Paid
351,351,2024-06-21,190956.77,Unpaid
352,352,2023-12-11,142922.84885971446,Unpaid
353,353,2024-07-13,138103.49,Paid
354,354,2023-09-21,134289.0579720271,Unpaid
355,355,2024-06-16,178304.72749489703,Paid
356,356,2024-09-23,77951.87,Paid
357,357,2024-07-06,161761.77,Unpaid
358,358,2023-05-18,107454.61,Unpaid
359,359,2024-09-29,180313.08,Paid
360,360,2024-04-25,58940.55,Paid
361,361,2024-12-21,183497.2348638014,Paid
362,362,2023-01-23,96256.06107874018,Unpaid
363,363,2024-06-02,70658.69,Paid
364,364,2024-01-29,190893.66,Unpaid
365,365,2024-05-14,69069.16,Paid
366,366,2023-01-25,96132.86,Unpaid
367,367,2024-05-15,82072.87,Unpaid
368,368,2023-10-25,124235.96,Unpaid
369,369,2024-02-13,176366.68,Unpaid
370,370,2023-08-01,80769.25,Paid
371,371,2024-08-11,130865.27,Paid
372,372,2024-10-27,80125.2,Unpaid
373,373,2024-05-15,124590.39,Paid
374,374,2024-08-14,89352.59,Unpaid
375,375,2024-12-22,81852.18,Paid
376,376,2024-12-22,66660.54,Paid
377,377,2023-05-19,196165.94,Unpaid
378,378,2023-08-13,124656.96,Paid
379,379,2023-10-05,124779.32,Paid
380,380,2024-03-09,87020.03,Paid
381,381,2023-02-22,112710.27,Paid
382,382,2023-03-04,169454.14,Unpaid
383,383,2024-03-12,94843.06662405585,Paid
384,384,2023-09-29,185723.04,Unpaid
385,385,2023-03-11,138875.16,Unpaid
386,386,2024-06-03,52325.566289831506,Paid
387,387,2024-12-08,186359.37,Paid
388,388,2024-07-16,120137.14,Unpaid
389,389,2024-11-15,149985.06,Unpaid
390,390,2023-06-07,196890.72,Paid
391,391,2023-06-09,159421.27,Paid
392,392,2024-08-12,123527.85,Paid
393,393,2023-06-21,126548.96,Unpaid
394,394,2024-09-13,142085.87,Unpaid
395,395,2023-05-28,194342.83,Paid
396,396,2024-11-10,52755.04,Unpaid
397,397,2024-05-08,85245.16,Unpaid
398,398,2024-09-29,175762.27,Unpaid
399,399,2024-02-08,82920.17,Unpaid
400,400,2024-02-18,75152.8766346378,Paid
401,401,2023-07-30,153387.05,Unpaid
402,402,2023-12-30,119145.97,Paid
403,403,2024-09-21,188023.83386572966,Unpaid
404,404,2023-10-28,89170.55354865825,Unpaid
405,405,2024-03-22,130383.9222110604,Paid
406,406,2024-10-26,88722.14,Unpaid
407,407,2024-08-19,65185.08,Unpaid
408,408,2024-10-21,100232.15634685116,Unpaid
409,409,2024-12-14,164448.0,Paid
410,410,2024-09-14,183220.20789233,Paid
411,411,2024-07-01,195307.74,Unpaid
412,412,2024-08-26,141225.71551731855,Unpaid
413,413,2023-06-24,80597.49,Paid
414,414,2024-06-03,183638.94,Paid
415,415,2023-01-15,93383.2695945343,Unpaid
416,416,2023-11-10,69736.77,Unpaid
417,417,2023-12-26,156671.46,Unpaid
418,418,2024-07-29,102063.64,Paid
419,419,2023-05-02,124810.65519109198,Paid
420,420,2024-05-16,106077.83432951404,Paid
421,421,2023-11-06,61392.86532688945,Unpaid
422,422,2023-01-16,149534.83095935173,Unpaid
423,423,2023-02-06,158535.61,Unpaid
424,424,2023-11-11,157876.46,Paid
425,425,2024-03-15,134573.45,Paid
426,426,2024-04-26,108140.86,Unpaid
427,427,2023-03-28,161384.93658333962,Paid
428,428,2023-01-11,63157.06,Paid
429,429,2023-10-22,169528.68,Unpaid
430,430,2024-12-09,139283.01,Unpaid
431,431,2024-08-01,189734.65746800916,Unpaid
432,432,2023-01-09,136417.94,Paid
433,433,2023-01-10,170369.52,Paid
434,434,2023-04-21,128379.59,Paid
435,435,2023-07-25,147703.59,Unpaid
436,436,2023-04-02,83238.46849869503,Paid
437,437,2024-05-24,80969.44448342946,Paid
438,438,2024-12-09,110960.2,Unpaid
439,439,2023-07-22,132537.6,Unpaid
440,440,2023-02-10,133098.19,Unpaid
441,441,2023-08-15,70022.74,Paid
442,442,2024-04-28,122582.35827457352,Unpaid
443,443,2024-02-01,102722.06854425893,Unpaid
444,444,2024-06-15,197945.67,Paid
445,445,2023-08-07,149245.09,Paid
446,446,2023-05-20,112820.83,Unpaid
447,447,2023-02-23,100427.39,Paid
448,448,2023-12-30,115510.97,Unpaid
449,449,2024-11-29,129876.48,Unpaid
450,450,2024-05-24,89428.71,Unpaid
451,451,2023-11-21,117844.00167620549,Unpaid
452,452,2024-05-15,196922.93,Unpaid
453,453,2023-12-05,55872.383155677664,Unpaid
454,454,2023-10-22,60566.440043408526,Paid
455,455,2023-01-29,117427.3,Paid
456,456,2023-09-24,176744.94157063402,Unpaid
457,457,2023-10-30,133027.77,Unpaid
458,458,2024-04-26,120112.39,Unpaid
459,459,2023-08-06,99850.73158601849,Unpaid
460,460,2024-05-12,169641.24,Paid
461,461,2023-10-27,196252.37,Unpaid
462,462,2024-12-11,104488.33,Unpaid
463,463,2023-04-10,169755.18,Unpaid
464,464,2024-09-14,129444.93,Unpaid
465,465,2024-09-21,194217.82,Unpaid
466,466,2024-11-28,132232.47,Paid
467,467,2023-06-08,195969.17,Unpaid
468,468,2023-08-18,116254.51699715698,Unpaid
469,469,2024-10-14,107756.31,Paid
470,470,2023-04-14,169377.13,Paid
471,471,2024-03-24,154970.62,Unpaid
472,472,2024-04-02,195706.57,Unpaid
473,473,2024-01-04,151336.76,Paid
474,474,2023-04-09,60088.03,Paid
475,475,2023-11-28,187428.80762110048,Paid
476,476,2024-02-19,114327.0,Unpaid
477,477,2024-11-02,188916.82,Paid
478,478,2024-09-24,105030.23,Unpaid
479,479,2024-09-13,178682.19,Unpaid
480,480,2023-07-02,179659.45039433477,Paid
481,481,2024-04-10,179189.58,Paid
482,482,2024-06-15,87287.92,Paid
483,483,2024-04-11,169625.09,Unpaid
484,484,2024-06-30,65394.62,Unpaid
485,485,2024-05-25,169668.26732553734,Paid
486,486,2024-08-14,89626.35,Paid
487,487,2024-05-28,183830.95,Unpaid
488,488,2024-01-20,69468.47,Unpaid
489,489,2023-04-05,180608.1,Paid
490,490,2024-10-31,81278.14611441515,Paid
491,491,2023-10-29,141185.14,Unpaid
492,492,2023-08-03,54358.5,Unpaid
493,493,2023-04-05,78277.21,Unpaid
494,494,2023-10-08,57039.97,Paid
495,495,2024-05-01,88906.18,Paid
496,496,2024-01-19,158164.42,Unpaid
497,497,2024-08-15,52966.14,Unpaid
498,498,2023-09-21,78607.11679121104,Unpaid
499,499,2024-02-27,113232.5298807372,Paid
500,500,2023-05-16,137053.16053260237,Paid
501,501,2023-05-25,168162.25,Unpaid
502,502,2023-05-28,161628.89,Unpaid
503,503,2023-12-16,162686.49,Paid
504,504,2023-10-29,130048.4,Paid
505,505,2024-10-26,128827.05729651568,Unpaid
506,506,2024-08-25,139051.40912238104,Unpaid
507,507,2024-01-25,144769.73575086976,Unpaid
508,508,2024-01-23,57054.48,Unpaid
509,509,2024-05-06,159617.72010379625,Unpaid
510,510,2023-10-12,174719.1,Paid
511,511,2024-05-13,68471.13,Paid
512,512,2024-04-12,189055.91283141382,Paid
513,513,2024-09-12,67515.54,Paid
514,514,2024-01-03,105937.83,Unpaid
515,515,2023-03-30,98752.88,Unpaid
516,516,2023-11-11,71503.24,Unpaid
517,517,2024-02-26,106589.41,Paid
518,518,2024-07-22,174716.07,Paid
519,519,2023-07-08,112661.82317963634,Unpaid
520,520,2023-08-19,116153.04985849005,Unpaid
521,521,2024-10-10,187300.56040496452,Unpaid
522,522,2024-10-11,173497.35958400904,Unpaid
523,523,2024-09-10,194182.85,Unpaid
524,524,2024-04-20,126132.61585925525,Paid
525,525,2024-05-26,113849.13,Unpaid
526,526,2024-03-15,117773.77,Unpaid
527,527,2024-12-05,123741.93348876666,Paid
528,528,2023-09-12,170829.49135648162,Paid
529,529,2024-01-20,119653.99,Paid
530,530,2023-01-07,111110.03,Unpaid
531,531,2023-05-10,129047.53,Paid
532,532,2024-12-06,190979.48590777293,Unpaid
533,533,2023-07-10,71900.24,Unpaid
534,534,2023-07-31,78041.29,Unpaid
535,535,2023-11-13,110210.91,Unpaid
536,536,2023-10-18,197120.8764051357,Unpaid
537,537,2024-08-02,164394.8596121802,Unpaid
538,538,2024-06-22,80604.78941859485,Paid
539,539,2024-07-15,167786.2678942823,Paid
540,540,2023-10-15,107411.33,Unpaid
541,541,2023-02-16,127773.34,Paid
542,542,2024-11-22,124477.9,Unpaid
543,543,2024-11-21,57280.4697719923,Paid
544,544,2024-06-20,130219.68,Paid
545,545,2024-09-01,131674.07,Unpaid
546,546,2024-11-03,150256.61808807222,Paid
547,547,2024-11-21,94351.1,Paid
548,548,2023-05-11,161238.82,Paid
549,549,2024-09-03,151504.75,Paid
550,550,2023-02-21,175905.01765666896,Unpaid
551,551,2023-11-03,152572.55511023037,Unpaid
552,552,2023-09-08,76213.35,Unpaid
553,553,2024-07-17,194443.6011371304,Unpaid
554,554,2023-06-01,110953.89,Unpaid
555,555,2024-02-12,161614.38,Paid
556,556,2024-08-30,195347.99,Unpaid
557,557,2024-02-27,156768.63,Unpaid
558,558,2024-06-07,72356.39,Unpaid
559,559,2024-08-07,166805.55,Unpaid
560,560,2023-12-31,107679.01,Unpaid
561,561,2024-03-12,184177.06,Paid
562,562,2023-09-14,71373.59,Unpaid
563,563,2023-01-16,151255.12,Unpaid
564,564,2024-10-23,63284.0,Unpaid
565,565,2024-01-02,82269.87227895437,Unpaid
566,566,2023-08-15,164110.57,Unpaid
567,567,2024-06-19,84610.67,Unpaid
568,568,2024-01-14,147776.8892229736,Unpaid
569,569,2023-04-29,115707.19591065629,Paid
570,570,2023-04-13,190562.81,Paid
571,571,2023-08-24,199366.65,Paid
572,572,2023-03-25,70776.51072468626,Unpaid
573,573,2024-09-21,111825.78738823891,Paid
574,574,2023-10-28,144529.77,Paid
575,575,2024-04-11,155201.04,Paid
576,576,2023-08-23,144749.86,Paid
577,577,2023-07-01,154949.68,Unpaid
578,578,2024-10-11,165595.49,Paid
579,579,2024-07-17,65610.28,Paid
580,580,2024-07-24,169687.15,Paid
581,581,2024-05-16,126989.74,Unpaid
582,582,2024-02-16,111737.88,Paid
583,583,2023-04-08,192006.69,Paid
584,584,2024-03-10,181514.59657559425,Unpaid
585,585,2023-10-17,103233.66,Unpaid
586,586,2024-10-08,196034.56,Paid
587,587,2023-05-28,149130.28,Unpaid
588,588,2024-01-24,154972.74,Paid
589,589,2024-10-09,159206.39,Unpaid
590,590,2024-01-28,117305.92,Unpaid
591,591,2024-05-18,73310.72187467148,Paid
592,592,2024-11-10,168591.7,Unpaid
593,593,2023-02-25,134711.27,Paid
594,594,2024-06-15,70604.85,Unpaid
595,595,2023-07-01,160167.92,Paid
596,596,2024-10-10,163402.69,Paid
597,597,2024-04-16,93526.14286955955,Unpaid
598,598,2023-07-10,77830.28980503182,Paid
599,599,2024-07-10,112930.51,Unpaid
600,600,2024-07-26,185325.93561394635,Paid
601,601,2024-10-19,90928.37,Unpaid
602,602,2023-01-23,190207.81,Unpaid
603,603,2024-10-11,70189.5170465261,Paid
604,604,2023-09-28,51179.56,Paid
605,605,2024-05-24,125259.59,Paid
606,606,2024-04-06,141759.72,Paid
607,607,2023-10-03,142842.35,Unpaid
608,608,2024-10-19,178191.0,Paid
609,609,2023-04-09,119949.87,Unpaid
610,610,2023-03-01,122951.15,Unpaid
611,611,2023-06-24,128609.89,Paid
612,612,2024-01-29,127203.16,Paid
613,613,2023-08-08,180676.08,Paid
614,614,2023-08-27,190752.47,Paid
615,615,2023-02-04,121550.42850957073,Unpaid
616,616,2024-11-15,74797.39967381103,Unpaid
617,617,2023-01-13,80484.68,Paid
618,618,2024-01-31,77979.56,Paid
619,619,2023-01-26,51486.9,Paid
620,620,2023-09-25,81279.42,Paid
621,621,2024-10-02,198291.8,Unpaid
622,622,2024-01-07,55322.730133084944,Paid
623,623,2023-06-24,125535.4,Paid
624,624,2023-12-07,147475.22,Unpaid
625,625,2024-07-29,190098.52728085118,Unpaid
626,626,2023-04-10,57383.06690732249,Paid
627,627,2024-11-16,109229.40392724935,Paid
628,628,2024-05-10,106473.20936371319,Paid
629,629,2024-04-23,131669.34,Unpaid
630,630,2024-04-26,91154.42,Unpaid
631,631,2023-01-31,143316.15713802032,Paid
632,632,2024-09-29,174281.64,Paid
633,633,2023-06-02,114360.46798225082,Paid
634,634,2024-07-04,54564.5,Paid
635,635,2023-05-18,112286.39,Unpaid
636,636,2024-02-11,112375.32,Unpaid
637,637,2024-12-06,153627.98,Unpaid
638,638,2024-10-03,76071.83,Unpaid
